id,text,ai_opinion,Alex,Panagiotis,Athina,Final Opinion,Topic
UgyTrWHlWPzRsSIsT9J4AaABAg,""" Iced Tea and a game of Football ""  😮 they Changed the lyrics . Ohhh so iconic",neutral,neutral,neutral,positive,neutral,Mundial
Ugw0t4SnK_uqQ7WDtNB4AaABAg,"fun fact:
bts had their concert in paris the day before. as soon as the concert was over, they caught an eight hour flight. when they landed, they began rehearsing for the performance. they gave the world such an amazing experience even after getting no rest. this is bts.",positive,neutral,,positive,positive,Mundial
Ugyzir4efqcA-sYcNwJ4AaABAg,"No matter how massive they become or how big the stadium is, they still perform with the exact same hunger and dedication as day one. That's why I'll always be proud to be an ARMY. I hope they continue to fly even higher because all their hard work and dedication deserve nothing less❤",positive,neutral,positive,positive,positive,Mundial
UgyCYFnsYhU0SBNrvRx4AaABAg,"yoongi said ""paris to new york"" 11years ago. Again Yoongi gets what he wants.",neutral,neutral,neutral,positive,neutral,Mundial
Ugznlx2qbMqGFSzAHER4AaABAg,The guys pulled that performance off in less than 24 hrs from their show in Paris last night. So proud of them.,positive,neutral,negative,positive,positive,Mundial
Ugys1LfkqUid4LcwS0N4AaABAg,They gave them 1 m8n 45 sec and they said let's make history❤,positive,neutral,positive,positive,positive,Mundial
UgxM1AtXIzGrwjPihgd4AaABAg,One of only a few performances at the World Cup that was done live without lip syncing. Respect❤,positive,neutral,positive,positive,positive,Mundial
UgwJ6Z3rZ1dS1f_yCDJ4AaABAg,"""King kong, kick the ball"" & ""Iced tea and a game of football"" They're SO iconic for this... so so happy & proud right now💜",positive,neutral,,positive,positive,Mundial
UgxZCM5yrR2Zea-Wzq94AaABAg,The fact that they changed their lyrics to fit the setting of the World Cup is one of the many reasons why they’re the goats,positive,neutral,positive,positive,positive,Mundial
UgzhE3qNASofayccqJd4AaABAg,imagine being chosen to perform at the first-ever halftime show of the biggest sporting event in the world and then returning to the exact same stadium next month for your sold-out concerts… yeah that’s the biggest band in the world BTS!,positive,neutral,neutral,positive,neutral,Mundial
Ugw9bzJHWT7-vkmRwdd4AaABAg,I’m obsessed with this performance wanted more!,negative,positive,positive,positive,positive,Mundial
Ugzcftf_3Dv8qEBfYJV4AaABAg,The only group artist i'll never get tired of watching❤,positive,neutral,positive,positive,positive,Mundial
Ugy-a8rYgwsQIr6gttN4AaABAg,BTS gained a lot of fans again after these performances but why they only get 1:51 mins,positive,neutral,neutral,positive,neutral,Mundial
Ugwm320dpjnEzQnZr5x4AaABAg,The only performance I loved from the show. BTS once again showed the word their artistic work,positive,neutral,positive,positive,positive,Mundial
UgyWE-2_emSdteOOnNF4AaABAg,"BTS brought a new atmosphere to the stadium, thanks to FIFA for inviting them.
Edit: Thanks for the likes",positive,neutral,neutral,positive,positive,Mundial
UgyNUD3-wLmq5i8ysrt4AaABAg,"Less than 24 hours they were performing in Paris with the highest audience 92,000 thousand.Thank you BTS for your hardwork.We love so much",positive,neutral,neutral,positive,positive,Mundial
UgzJ6hkSdzNhJ5xfpdt4AaABAg,the fact they did this MID tour probably jet lagged and still managed to pull off a great performance is just what BANGTAN does 💜,positive,neutral,positive,positive,positive,Mundial
UgzyI3EhF49DfHEziVN4AaABAg,Jungkook’s intro is iconic. 🔥,negative,neutral,positive,positive,positive,Mundial
UgypQ8FfkT_-xEuAh3R4AaABAg,The transition from the Viking row celebration to Jungkook 💯,neutral,positive,positive,positive,positive,Mundial
UgyrE9YThjSIPUFbmHV4AaABAg,FIFA choosed the right band...😭💜✨,positive,positive,neutral,positive,positive,Mundial
UgzuTYD-b81aICXV-Mx4AaABAg,1 min 51 was enough for them to own the whole stadium 🏟️🙌🏻💜,positive,neutral,positive,positive,positive,Mundial
UgyCk5EVKzmcd0d3-GV4AaABAg,"This demonstrates that they don't need much to stand out—not even two minutes. They showed up, performed, and completely crushed it. Everyone else was left staring in awe. There's a reason BTS is known as the kings; it's not just empty talk",negative,neutral,positive,positive,positive,Mundial
Ugx4r8E8owqp7SUFKFh4AaABAg,"Who's gonna tell the boys with eyeliner will perform at the fifa world cup oneday, we are so proud of you!",positive,neutral,neutral,positive,positive,Mundial
Ugzwb_UFNR7OlYebN0J4AaABAg,No one owns the stage like BTS. Absolute legends!!,positive,neutral,positive,positive,positive,Mundial
Ugx5i1vG7R0IlOsoPQl4AaABAg,The only bad thing about this is that it wasn't long enough 😂,negative,neutral,neutral,positive,neutral,Mundial
UgxoqbCFAGGHG87Bb154AaABAg,Why does all Argentina matches feels like a world cup final bro 😭❤‍🔥,negative,positive,positive,positive,positive,Mundial
Ugw9ljfcoK1fwWAhwOx4AaABAg,We thought Messi reached his peak last World Cup until he carried Argentina to possible back-2-back title at the age of 39 years old. Insane longevity!,negative,positive,positive,positive,positive,Mundial
Ugyy7owg2SRFM1mHU1x4AaABAg,"I'm Vietnamese, and I think the people of Argentina are so lucky to have such a united team, and especially to have Messi on the field 👏👏👏",positive,positive,positive,positive,positive,Mundial
Ugxl4iZaNcLykwLkxjd4AaABAg,This tournament has shown the clear difference between Messi and the rest. THE GOAT,positive,positive,positive,positive,positive,Mundial
Ugy0MDcGLmdOWgXFYeZ4AaABAg,This legit felt like an anime episode. They really won with the power of friendship. 😭,positive,positive,positive,positive,positive,Mundial
UgwIFLTYnclCzRlnSvx4AaABAg,"if no goal do assist 
If no assist score goal 
Best playmaker , Brilliant Messi .",positive,positive,positive,positive,positive,Mundial
Ugxw9ptXoIZTR7iqMsd4AaABAg,Messi went from competing with Ronaldo for a decade to prime Mbappe for golden boot and Yamal in the final at the age of 39 years old. Insane longevity! 🐐,negative,positive,neutral,positive,positive,Mundial
UgwXVDlb5ACnBx6TQGB4AaABAg,"This old Messi reminds me of the old Zidane who carried France into the final WC2006. Hope Messi will get better result and touch the golden cup one more time, then the debate who’s GOAT would come to an end.",positive,positive,neutral,positive,positive,Mundial
UgzqT8-vPYOdL-R8i7d4AaABAg,39 years old still the best player in the world！UNBELIEVABLE！,positive,positive,positive,positive,positive,Mundial
UgxiIEJF7g764qHthXl4AaABAg,"Whatever Argentina takes in the second hydration break in every match, I need it.",neutral,positive,neutral,positive,neutral,Mundial
UgzCAzpGdaYCYjQ3GkZ4AaABAg,"I really thought Argentina had lost against England in 80 minutes, Suddenly they pulled off the comeback, What a great match.",positive,positive,neutral,positive,positive,Mundial
UgxRZzTRh43d8ofo1GB4AaABAg,"This is one of the best comebacks I've ever seen at the Worlds Cup.
Congrats to Argentina and Spain for making it to the final.",positive,positive,positive,positive,positive,Mundial
UgyaIrtgz1cvcocmz-x4AaABAg,Messi deserves best young players award 🗿🐐,positive,positive,positive,positive,positive,Mundial
UgxxLmxKzzLcdDXMHa54AaABAg,"ARGENTINA THE BEST, NEVER GIVES UP!",positive,positive,positive,positive,positive,Mundial
UgxJNs4ALjZ3ufUjZyd4AaABAg,Bro changed his role as striker to midfielder 2 greatest accurate assist what a player! no ego salute 🫡❤,positive,positive,neutral,positive,positive,Mundial
UgwXokCrFITYSy3AAPV4AaABAg,"In this match, Argentina perfectly demonstrated the spirit of teamwork and never giving up.",positive,positive,positive,positive,positive,Mundial
Ugyd3w6CkHEya6_lHHN4AaABAg,Thank you Messi. Seeing you play so well in all of your matches and reaching the Final was wonderful to see. I am grateful that I got to see you and Ronaldo score goals again. I feel like my childhood has come to an end. I will surely watch the next World Cup with passion but I will be a married man. Thanks for all the wonderful memories.,positive,positive,positive,positive,positive,Mundial
UgzVtwIEMrvQsztJflp4AaABAg,"The commentator is clearly an England fan. 

You can tell he’s hurt.",positive,negative,neutral,negative,negative,Mundial
UgzuqfNrf28GxI96mm14AaABAg,"They never give up and they are always comeback. You can hate them, but u must admit they fighting spirit, vamos Argentina!",negative,positive,neutral,positive,positive,Mundial
Ugz25BrJ5dnBMAnZ62N4AaABAg,Messi is the only player in history to move like his prime days at the age of 39 he is insane,negative,positive,positive,positive,positive,Mundial
UgzUJYa1yW4lK409joB4AaABAg,"Lionel Andrés Messi Cuccittini, what a blessing you are for football!",positive,positive,positive,positive,positive,Mundial
UgwIAbKV78-ND3MLStx4AaABAg,1:41 commentetor surely england fan,positive,negative,negative,neutral,negative,Mundial
UgyOvPHdyoIXq2hiCW14AaABAg,How anyone can compare Ronald to Messi just amazes me 😂 this man is a legend,positive,positive,negative,positive,positive,Mundial
UgyRf1IAJwVDMUdH_yB4AaABAg,Messi 8 goals + 4 assist in 39 years = An incredible achievement all of times.,neutral,positive,positive,positive,positive,Mundial
Ugy7MeyMOMnJrbX1Rkp4AaABAg,"Never seen a team so confident as to consistently comeback at 80+ minutes at this level.... Whatever happens, this Argentine team will not lose the final. Not after passing through so many struggles & tests.

 This Argentine team is not behaving like a "" team"" but rather like a "" cult"" following Messi. Spain knows that even if they lead by two goals, it's not over till final whistle. It's scary...",negative,positive,neutral,neutral,neutral,Mundial
UgwsV_lmwMGpl2S74tt4AaABAg,"Spain don't depends on one player, they're playing as a team. 
Congratulations Spain.",positive,positive,positive,positive,positive,Mundial
UgzWsN9FD9JGXZfRkO54AaABAg,"Spain is the literal definition of ""teamwork makes the dream work""",positive,positive,positive,positive,positive,Mundial
Ugw4yql8lUBJDfrPeU54AaABAg,Never thought any team could dominate the France team like this. ..,positive,positive,neutral,neutral,neutral,Mundial
Ugyh3i0PuEBYpBltXeV4AaABAg,"After this match, Cabo Verde's(vozinha) reputation rose even further📈",neutral,positive,positive,positive,positive,Mundial
UgwU0v44vdg059paZC54AaABAg,I admit I didn't expect that. France was unstoppable until then.,neutral,positive,positive,neutral,neutral,Mundial
Ugx6ahtULlSG88VqInJ4AaABAg,"Spain didn’t just win , they exposed France. Calm, sharp, and fully deserved.",positive,positive,neutral,positive,positive,Mundial
UgxDBPOf2j8LtVqFO514AaABAg,Who's here after they won the world cup by defeating Argentina!? Crazy play by Spain! 🎉🎉💯💯,positive,positive,neutral,positive,positive,Mundial
Ugy7__Dq79B2snRBy-x4AaABAg,they did'nt just won they dominated the entire game 🏆✨🇪🇸,positive,positive,negative,positive,positive,Mundial
Ugy_TUTrApeRiT3Y0Kh4AaABAg,What a game by spain totally dominate ❤🇪🇸,negative,positive,positive,positive,positive,Mundial
UgxTd89XFyhvrnCRFEp4AaABAg,"As soon as France faced a real midfield and defence line, they showed their true weakness.",positive,positive,neutral,negative,positive,Mundial
Ugz7KWc1-sLhrdETd4Z4AaABAg,".	Spain showed that champions aren’t built around one player, they’re built on teamwork. Congratulations, Spain🎉",positive,positive,neutral,positive,positive,Mundial
UgxAvDrRNZJVLUANeX54AaABAg,"As a French supporter, France was completely absent throughout the entire match... Spain deserves victory",positive,negative,neutral,negative,negative,Mundial
UgwDCZB7RMCS9Db58dh4AaABAg,France was properly humbled in this match.,neutral,negative,negative,negative,negative,Mundial
UgxNufZttloaUWDCjRZ4AaABAg,Their passing and attacking capability make them unstoppable..,negative,positive,positive,negative,positive,Mundial
Ugx_fdfV1iW7w6h5M214AaABAg,Oyarzarbal’s penalty was absolutely world class. None of the stuttering theatrics,negative,positive,neutral,positive,positive,Mundial
Ugx6cHPgFxhged-izld4AaABAg,"As someone who favors France for this match, felt like this is the most fair referee in recent matches",positive,positive,neutral,positive,positive,Mundial
Ugx-kMg4OsXLM7olUuh4AaABAg,"Spain's midfield was the key in this game, hoarded possession and never made mistakes while progressing the ball well. France's attack is insanely talented but their midfield was their weakness.",negative,positive,positive,positive,positive,Mundial
UgzOOfFwmuxMSSFWl7d4AaABAg,spain made really proud by knocking the most dangerous team this world cup,neutral,positive,neutral,positive,positive,Mundial
UgzmX0TRtzGJ0gJWdm94AaABAg,Who's after spain won the world 🗿,positive,positive,neutral,positive,positive,Mundial
UgxpZn7v218oFOMX7PR4AaABAg,"Spain plays collectively, their playing style is impressive.",positive,positive,positive,positive,positive,Mundial
Ugwh9EclzurrHX3rMad4AaABAg,A TEAM playing like an absolute unit always win against a team dependent upon one or two KEY players.,positive,positive,,positive,positive,Mundial
Ugw4eOaYX0c1oIkQ7v14AaABAg,Back to 2010 when Spain qualified to the final for the first time in South Africa,neutral,positive,neutral,neutral,neutral,Mundial
UgwfreCYxBswLY7s7V54AaABAg,Their defense was exceptional and highly impressive. They didn’t let France score a single goal. What a teamwork!,positive,positive,positive,positive,positive,Mundial
Ugz5tiTVgQWtIHgLbhJ4AaABAg,"Guys I swear I didn't expect France would get crushed by Spain. They literally taught them how to play football. Throughout the game, tiki taka 😂❤",positive,positive,neutral,positive,positive,Mundial
UgwyZLeF7prgb2Fb8_R4AaABAg,Highlights don't show how fabulous the midfield duo of Rodri and Fabian were this game,negative,positive,neutral,positive,positive,Mundial
UgzSn7ixZnWrY7li-TR4AaABAg,Norway's goalkeeper was just goated,neutral,positive,positive,positive,positive,Mundial
UgwhYffbThr1AP3H5wV4AaABAg,The goal keeper was equally responsible for Norways win ❤,positive,positive,positive,positive,positive,Mundial
Ugy4-1Y0eYdm8sLollJ4AaABAg,Haaland second goal was something else,neutral,positive,positive,positive,positive,Mundial
UgyKDTyha0owAYqAJ6N4AaABAg,The Vikings came to conquer. Please win the cup.,positive,positive,positive,positive,positive,Mundial
Ugx1zjhV2Sx-R62SYWh4AaABAg,Haaland is playing like the World Cup is a normal tournament.,positive,positive,positive,positive,positive,Mundial
UgyFgZzl5jfbdwL9TXl4AaABAg,The aura turnaround from Haaland after the second goal lol. It looks like such a casual goal for him lol,positive,positive,positive,positive,positive,Mundial
UgxtAuMth2M5TeAQPIV4AaABAg,"people all talking about Haaland, for me the MVP for this match is the Goal Keeper",neutral,positive,positive,positive,positive,Mundial
Ugz0XMGxQxkloRPRq414AaABAg,Hats off to Norway keeper for excellent saves.,positive,positive,positive,positive,positive,Mundial
UgyMwbWrdC49CPzwdB94AaABAg,Haaland actually crowned the goalie's efforts. Norway is just an amazing team and I'm truly rooting for them.,positive,positive,positive,positive,positive,Mundial
UgxSq4dvkjFI_BGFoUN4AaABAg,That 2nd goal from Halland have hurt brazil more than anything.,negative,positive,positive,positive,positive,Mundial
UgxzawttY36xNx4A4XB4AaABAg,That first penalty miss by Brazil proved very costly.,negative,negative,negative,negative,negative,Mundial
Ugx0gEw5Hlm1iF58nbR4AaABAg,Norway's goalkeeper is f'n amazing,positive,positive,positive,positive,positive,Mundial
Ugz9aOt_xBPw9rBnG2N4AaABAg,Haaland is a freaking tank and their goalkeeper is another. The viking comeback!,negative,positive,positive,positive,positive,Mundial
UgzgxjDYAeRJ4RIGY0h4AaABAg,"As a Swede, now that we are out i have to root for my scandinavian neighbour. Lets go 🇳🇴🇸🇪",neutral,positive,positive,positive,positive,Mundial
Ugy9trZ9Tl6wYHuXxmJ4AaABAg,Coldest celebration from Haaland after 2nd goal. Rare moment in knockout stage in wc history,neutral,positive,positive,positive,positive,Mundial
Ugzb7labWvgHGzAGTmx4AaABAg,One of the best player on the game was the goalkeeper. He made some incredible saves and stopped normally what looked like a goals.,positive,positive,positive,positive,positive,Mundial
UgyxWqHwOHaUwkKLwF94AaABAg,"Erling Haaland!
Norway goalkeeper had a great game.",positive,positive,positive,positive,positive,Mundial
Ugwm_SSK97HhUIdv33F4AaABAg,Haaland Scored and Gabriel at the crime scene once again  no matter Club or Country 😂😂,positive,positive,positive,neutral,positive,Mundial
UgwCbxz1zoN6AglxGZ94AaABAg,"Funny, i can read on Danish news that some Danes are jealous and hope Norway will lose.
I for one, as a Dane, hope my Norwegian brothers will go all the way :)",positive,positive,neutral,positive,positive,Mundial
UgwwlAmBslgC9a4jp1B4AaABAg,Amazing goal keeping and I think one of the best goals ever - unbelievable level of precision. Well done Norway!!,positive,positive,positive,positive,positive,Mundial
UgyvM1-XD7MeRAflRJd4AaABAg,"Norway vs England is gonna be amazing, Norway are no joke",positive,positive,neutral,positive,positive,Mundial
UgwXJDhd2QJRywKKAmF4AaABAg,"11v12, not even scandalous VAR and ref decisions could ruin Norway's win (despite them trying their best).",positive,negative,negative,positive,negative,Mundial
UgwfmIlAyIk0g3MIj3t4AaABAg,"Congrats from Germany Norway, keep rowing on.",positive,positive,positive,positive,positive,Mundial
Ugxuh7VC_rqgOWsVOKF4AaABAg,I knew it! 75% thought Brazil would win. I believed in Norway!,positive,positive,positive,positive,positive,Mundial
Ugy3dE5QS_xA7nSdaZJ4AaABAg,The ref tried his hardest to make brazil equalize but even 11vs12 wasnt enough,neutral,negative,negative,neutral,negative,Mundial
UgyhPgodimEolAcS7zd4AaABAg,Our favourite song for The FIFA World Cup 2026 ✨,positive,positive,positive,positive,positive,Mundial
Ugw66-5JGfQdcHJF_OB4AaABAg,Who is here after Spain🇪🇸 win,positive,positive,positive,positive,positive,Mundial
UgwpZDbCYrrHgic2Gyt4AaABAg,1:36 for a second i thought i was listening to a telenovela theme song,neutral,neutral,neutral,neutral,neutral,Mundial
Ugw-JWSb8rlwOD6VZKl4AaABAg,Robbie Williams my one love❤❤❤,positive,neutral,,positive,positive,Mundial
UgxqIAjfq699a1Ry6214AaABAg,I adore Robbie Williams !!! Such a legend,positive,neutral,,positive,positive,Mundial
UgyV0T1EaxpDe-DMfch4AaABAg,"Speed,BTS , Robbi Williams, Nicole scherzinger,and Laura pausini gave the best performances tonight",positive,neutral,,positive,positive,Mundial
UgxgF1OmlngXN3rq3xB4AaABAg,"man laura´s voice is stuning, marvelous.",positive,neutral,,positive,positive,Mundial
Ugx1yIMZZYEDOMUBCnZ4AaABAg,"“We will miss this 2026 World Cup. It gave us a roller coaster of happiness, joy, excitement, and sadness. It made the whole world feel like a small place.
For many, it was their first World Cup, and for many others, it will be their last. We will miss you, Cristiano Ronaldo, Neymar, Lionel Messi, Mohamed Salah, Luka Modrić, and Kevin De Bruyne.
Thank you for making our childhood so special. ❤⚽🐐”",positive,positive,,positive,positive,Mundial
UgyLj4JQfipWNenNINN4AaABAg,Laura pausini❤❤❤ the best ❤❤,positive,neutral,,positive,positive,Mundial
Ugz87TccFooblrxJKoZ4AaABAg,This song was emotional for me seeing the flags of the nations in the back waving while most were eliminated and the world cup coming to an end. Great song!,positive,neutral,positive,positive,positive,Mundial
UgzI9RvsT5z31KFaXsN4AaABAg,Happy birthday Spain🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦🎉🎉🎉🎉🎉🎉🎉🎉🎉,positive,neutral,neutral,positive,neutral,Mundial
Ugwb0pgNRNTImyJ5ky14AaABAg,They did an amazing job. Robbie is charismatic as always and Nicole always hits those notes. Impressive!,positive,neutral,positive,positive,positive,Mundial
UgwYrSlBYgETKMfsbZR4AaABAg,Laura is incredible ❤❤❤ Robbie and Nicole as well 🎉🎉,positive,neutral,positive,positive,positive,Mundial
UgxS6Icd2S0KyL2GI1B4AaABAg,I LOVE NICOLE IS BEAUTITULL,positive,neutral,positive,positive,positive,Mundial
UgyVZPfroLE6Ste0kZl4AaABAg,Who's here after 1 - 0 Spain win,positive,positive,neutral,positive,positive,Mundial
UgwB3S9nN7ivuVh_o6N4AaABAg,"The sight of all the flags waving together in perfect unison filled me with a profound sense of awe, reverence, and unity. It felt as if the whole world had become one, and it made my heart swell with emotion.",positive,positive,neutral,positive,positive,Mundial
Ugxj7h2BGEJVw2n2DzV4AaABAg,This deserves so much more views! It is so beautiful,positive,positive,positive,positive,positive,Mundial
UgyN3n8YXCIzfeh4qJx4AaABAg,Fantastic Laura Pausini! Italy was there with you,positive,neutral,neutral,positive,positive,Mundial
Ugx-N1H5Bm7X7Osfq2Z4AaABAg,"A World Cup final that, despite not relying heavily on technology, delivered results, emotion, and elegance! Cool, lively, and moving performances. Congratulations!",positive,positive,positive,positive,positive,Mundial
UgxgRlglLotzf0_qXAB4AaABAg,The whole image this performance delivers is just pure art. beautiful,positive,positive,positive,positive,positive,Mundial
UgyhvBdGb2LnKmvFsYl4AaABAg,Laura Pausini went so far than the Italian team in a word cup for two decades.,neutral,neutral,neutral,positive,neutral,Mundial
UgyPIdO8VgVdjiNX8xJ4AaABAg,Who is here after Spain 🇪🇸 wins this 26 World Cup championship 😅🎉🎉🎉🎉🎉🎉🏆🏆🏆🏆🏆,positive,positive,positive,positive,positive,Mundial
UgwmU_ITklPA-0Hg2HZ4AaABAg,"This song, man..... I knew this song once both nations' flags entered. and this full, man... simply made my ears blessed",positive,neutral,neutral,positive,positive,Mundial
UgyESqNcAxmAyxn_PT14AaABAg,"No one can roll their ""R's"" like Laura can",positive,neutral,neutral,positive,neutral,Mundial
Ugw1N1Hm8RInPLllzwB4AaABAg,"1:17 Laura Pausini singing ""cuando el diablo nos mire tendremos valor, That translates WHEN THE DEVIL SEE US WILL HAVE WORTH"" I am speechless, be careful cuz there's a spiritual warefare",negative,neutral,neutral,positive,neutral,Mundial
UgztnOKlabA9HrceYBh4AaABAg,Dynamite after 6 years still gets me so HYPEEED,positive,neutral,positive,positive,positive,Mundial
UgyMXI9pT7gBqnAIblh4AaABAg,"I like that BTS adjusted the lyrics to ""King Kong, kick the ball"" and ""Iced tea and a game of football"". Such a cute lil touch.",positive,neutral,neutral,positive,positive,Mundial
UgwrfTntDCPm20pC3yd4AaABAg,JungKook sang alone 4 years ago and today he brought his brothers with him.,negative,neutral,neutral,neutral,neutral,Mundial
Ugw9dHfM0Z6yvm1ac2p4AaABAg,The best part is seeing the world come together!❤,positive,positive,positive,positive,positive,Mundial
UgxtEvNxeivmkY_Ynst4AaABAg,The transition from Norwegian rowing to dynamite is fire. Overall I loved the halftime and congratulations to Spain. Well deserved,positive,positive,positive,positive,positive,Mundial
UgwcpTdepcl-ncB-6Kl4AaABAg,"BTS were on tour in Paris for their biggest live audience ever just 24 hours before this, legends beat the jet lag 🔥🔥",negative,neutral,neutral,positive,neutral,Mundial
UgxNbDNuxBPcc4r0sX54AaABAg,"It’s sad to see that no one in the comments is showing Justin any love just because he didn't sing the typical popular song; instead, he chose to perform a song that raises humanity's awareness. For me, Justin was the best part of the halftime show.❤❤❤",positive,neutral,neutral,positive,neutral,Mundial
UgzLywNf_nMqp80eeV54AaABAg,"From Jungkook performing alone in 2022 to BTS performing together in 2026 for the FIFA!!!!! 
WE HAVE COME SO FAR 🥹💜",positive,neutral,neutral,positive,positive,Mundial
Ugw3pV4UgL5MYyDUvp14AaABAg,Who here after spain won ❤❤❤,positive,positive,neutral,positive,positive,Mundial
Ugx7AS_REXFld4oklJ54AaABAg,"""ice tea, and a game of ping-pong"" ❌
""ice tea, and a game of football"" ✅

THEY KNOW HOW THEY DO DO DO DO 💜",positive,neutral,neutral,positive,positive,Mundial
Ugzgv4EDWeBL5qKTNpF4AaABAg,The transition from Norway rowing to dynamite is fire,negative,positive,,positive,positive,Mundial
UgwkWigT_NAwHnR1De54AaABAg,"Today and always, Shakira is proving why she's invited to these kinds of events and why she holds the title of Queen of the World Cup, and today that was more than evident. Beautiful Shakira, always giving it her all.",positive,neutral,,positive,positive,Mundial
UgwTd_GmXqYBP0tZ8GV4AaABAg,Shakira is not just a singer she's part of FIFA 🏆,neutral,neutral,,positive,neutral,Mundial
UgxKDpESUAkYPkj4jsR4AaABAg,Jungkook and Shakira are the only ones in history to have performed at the World Cup multiple times!⚽🏆🏅💥,positive,neutral,,positive,positive,Mundial
UgzuhcBhXZZfYLCy8xF4AaABAg,Everyone talking about the artists performance meanwhile I'm really admire how clean the cinematography and transition in a live show. Really a phenomenal teamwork.,positive,neutral,,positive,positive,Mundial
UgwMCnbXCDb5RcCqXZl4AaABAg,"No matter how many years pass, BTS on a FIFA stage will always be iconic.",neutral,neutral,neutral,positive,neutral,Mundial
Ugwv2i2CZB2gO04TeKV4AaABAg,The kids that danced with Shakira were amazing. I’ve seen videos of these children before and how they came about become famous!,positive,neutral,neutral,positive,neutral,Mundial
Ugygn3vlyzaM2bFVHGl4AaABAg,Madonna with Ronaldinho and Ronaldo is absolutely legendary 🔥,negative,neutral,positive,positive,positive,Mundial
UgxZbGetON0xq6HtH994AaABAg,"""King kong, kick the ball"" 

""Iced tea and a game of football"".",neutral,neutral,neutral,neutral,neutral,Mundial
