id,text,ai_opinion,Panagiotis,Athina,Final Opinion
UgzykBzfgo9J1VBMdbV4AaABAg,AKYLAS BECAME ONE MORE CELEBRITY IN THE EUROVISION HALL OF FAME,positive,negative,positive,positive
UgzTIBhIGbrlfbtSiUF4AaABAg,Serbian jury awarded 12 points 🇷🇸♥️🇬🇷,positive,positive,positive,positive
UgxR4wKZAF59f9uHQAV4AaABAg,"12 points from Bosnia 🇧🇦🤍🇬🇷 As catchy, upbeat, and positive as the song is, it’s also emotionally heavy. Reading the translated lyrics gave me goosebumps. Go for the win! 🇬🇷🥹",positive,positive,positive,positive
UgxG7X5X1LYfPvLsv_p4AaABAg,"My vote for Greece from Georgia. Akylas is unbelievably brilliant. Wishing you victory, Greeks!💙💙🫶",positive,positive,positive,positive
Ugww6cYaOIaK2JFkE0l4AaABAg,12 Points Like BUTTON! Winner 2026 Thats Real ESC Music!,positive,positive,positive,positive
Ugxj-1M-JH_ROPcKHz14AaABAg,"GREECE IS MY FAVORITE COUNTRY IN EUROVION, EVERYTHING THEY SEND IS AMAZING 🇬🇷❤️🇮🇹",positive,positive,positive,positive
UgyBH2MRL38LW-n96IZ4AaABAg,Respect from Armenia to Greece,positive,positive,positive,positive
UgyoUunrUsAqk00A7t54AaABAg,12 points from USA 🇺🇸 <3,positive,positive,positive,positive
UgxIhT-6WGhdG1E7ZoR4AaABAg,12 points from United Kingdom my favourite,positive,positive,positive,positive
UgxFZVaVnv-0MIPAhWl4AaABAg,I am so prouf of our jury 🇷🇸♥️🇬🇷,positive,positive,positive,positive
UgyMANd16xS_zD7Rkwt4AaABAg,"The international collab we've never expected, this will go down as a historical moment 🇲🇦x🇩🇿x🇬🇧x🇫🇷x🇮🇹x🇪🇦x🇸🇳",neutral,,positive,neutral
UgxcGqeiHkAki8MPtS94AaABAg,Anyone in June 2026 ?,neutral,,positive,neutral
UgyMvQXxyAzL7xdrZ994AaABAg,"00:27 Rondo🇮🇹
00:54 Baby🇮🇹
1:20 Cee🏴󠁧󠁢󠁥󠁮󠁧󠁿
1:47 A2Anti🏴󠁧󠁢󠁥󠁮󠁧󠁿
2:12 Morad🇪🇸
2:39 Beny Jr🇪🇸
3:07 Ashe 22🇫🇷
3:33 Freeze🇫🇷",neutral,,neutral,neutral
UgxhtxvCZbWvKYcq1RF4AaABAg,Anyone During this world cup 2026?😊😊,positive,,neutral,neutral
UgyFLjOgwzM2xvGRddB4AaABAg,"I HAVE NO WORDS TO EXPLAIM HOW GOOD THIS IS, WHAT A JOINT THAT ALL, I'LL NEVER GET TIRED OF LISTENING TO IT.😍🇲🇦🇩🇿🇬🇧🇫🇷🇮🇹🇪🇦🇸🇳",positive,positive,positive,positive
UgxONsL5HPFXBNRkHbh4AaABAg,"I am spanish but RONDO it's the best part, it's just amazing how he starts🔥🔥🔥",positive,positive,positive,positive
UgwkiB6olmpe99oQCJJ4AaABAg,"4 years later, yet we haven't been any closer to world peace than that.",positive,positive,positive,positive
UgyvsdhuARO-CywE4kN4AaABAg,Imagine if Eurovision was brave enough to give a platform to music that actually told the story of what life is like on the streets of Europe's most populated cities.,positive,,negative,positive
Ugy2eqeCJoEbPjINKdR4AaABAg,"Central Cee Has made History. This song is a certified European Masterclass.
667 Ekip",neutral,,positive,neutral
UgwaQMinYbadpngUuDx4AaABAg,1 song 8 artists 8 languages 8 beats 100% fire,negative,,positive,negative
UgwEwr7LtxUljsICWT54AaABAg,As an American who had never heard of any of these guys before l’m incredibly impressed,positive,,positive,positive
UgzKK3K4emto5jd2Hv14AaABAg,Rondo Goes the Hardest 💯,neutral,,positive,neutral
UgxX-EpOH7JwvlBTcKp4AaABAg,*THE WORK RATE IS MAD!* 🥶💯,negative,,neutral,neutral
UgwvQmwjxjrdKSVdcDx4AaABAg,I don’t know what half of it says but it slaps anyway 🥶🥶🥶,neutral,,positive,neutral
Ugy5e2XSmtgYNSINGDt4AaABAg,The collab is hard! 🙏 🔥,negative,,positive,negative
UgwG5EX0OiJpG8uXn4J4AaABAg,Rondoo Drill King🐐💙🇮🇹,neutral,,positive,neutral
UgykueX_1AD7fCT1tsV4AaABAg,"French brothers killed it with this one🇫🇷🔥
 love from Italy🇮🇹",negative,positive,positive,positive
UgyZ6GIsdaOKqHjUaWp4AaABAg,Italy and spain on top🔥💯 rondo baby gang morad and benyjr lit it on fireee,negative,neutral,positive,neutral
UgwQO4jfH-KCJqL7viB4AaABAg,Being an American artist / rapper and seeing different countries and culture in the music scene is always dope to see. Everyone got a story to tell and everyone got something new to learn,neutral,neutral,neutral,neutral
Ugwd7_4g5VKbb7xGB4R4AaABAg,"I don’t think you understand how massive of a collab this is, it represents every corner of some of the best drill artists in Europe, these drill artists are representing their country in terms of best rappers in their country, Cench got together the best drill artists in Europe and put them together in 1 song, that takes some skill, especially because some of the gangs in this video don’t like each other but to bring them together in 1 music video is amazing",positive,neutral,positive,positive
UgzsuoxfpOy1GKEX4Nd4AaABAg,Baby gang went crazy with his flow everyone did his part well done,negative,neutral,positive,neutral
UgwGrtQylFqQK6aLgKV4AaABAg,1:22 Just listen to the beat🔥,negative,neutral,positive,neutral
UgyRC8qskdRrqf5SK5l4AaABAg,Who ever made the transition from a firework to a smoking blunt need a rise!!! That was WAYYYY TOO CLEAN,positive,neutral,positive,positive
UgwlOySy_mHBrImAA_V4AaABAg,"PROUD TO BE MOROCCAN, BORN IN ITALY AND IM IN FRANCE 🇮🇹🇲🇦🇫🇷",positive,neutral,positive,positive
UgwnRPE-Fx6K0FnYidh4AaABAg,Directed By WILLIAM Thomas (me) 🇪🇺🇪🇺🌍 Thanks to the artists and Central Cee for this 🎥🎥🤯🤯 ! Une réalisation WILLIAM Thomas 🇬🇧🌍🇪🇺🇮🇹🇫🇷🇪🇸😬,positive,neutral,positive,positive
UgwJ3RkoibfSMf--jTt4AaABAg,gonna tell my kids this was Helen of Troy,neutral,neutral,neutral,neutral
UgxraO9OO0lU4w-b2od4AaABAg,Here again after Bulgaria won Eurovision 2026,positive,neutral,neutral,neutral
UgwqQN35EkOt1Dxp1id4AaABAg,Stop asking who’s still here. We aren’t leaving.,negative,neutral,negative,negative
UgyPBxt-kDvfiFmxY_l4AaABAg,Eurovision week so i cane here to pay my tribute,negative,neutral,neutral,neutral
UgzD29K62M79i8I4qsx4AaABAg,"That self-confidence, she came to win, you can see that in her eyes :D",positive,neutral,positive,positive
Ugwx3yliwjW0kVw06md4AaABAg,"After 16 years, I'm still listening. Helena is the most confident woman in the eurovision history. Her eyes say 'I'm here to win!"" What a charisma! Greetings from Turkey!",positive,neutral,positive,positive
UgxXiQByIyZmMW9bJ054AaABAg,"This song was a huge hit in the Balkans. 
Bulgaria, Serbia, Romania, Turkey... everyone was listening to this song",positive,neutral,positive,positive
UgzOEhUoJlTBD_38tzp4AaABAg,"2003 Sertap 🇹🇷
2004 Ruslana 🇺🇦
2005 Helena 🇬🇷
Three wonderful years, Three wonderful women.",positive,neutral,positive,positive
UgjnIIVXef-b33gCoAEC,"Turkey gave 12 points to this song, and more than 5 years i heard this everywhere in Turkey. We love you Greece !",positive,positive,positive,positive
Ugyzga6wfyLXTxS7U2d4AaABAg,I'm still listening this song during quarantine days in Istanbul.,neutral,positive,neutral,neutral
UgxDuX5_JUhEUSQu0ep4AaABAg,"you can't imagine how a huge hit this song was in Türkiye, we even used it at some schools as schoolbells for years :))",positive,neutral,positive,positive
UgyX2CZDeDBWpwNAnpd4AaABAg,"She's a Greek goddess
She totally nailed it. She owned the stage that night",neutral,positive,positive,positive
UgxDSdDaRSyrEsKkDRh4AaABAg,"Still hit, still listening!!!! Greetings from Turkey to our neighbour Greece 🇹🇷🇬🇷",positive,positive,positive,positive
UgxXvjXujw0OQYHp4d54AaABAg,I remember how succesfull this song became in Venezuela . It was played in all clubs.,positive,positive,positive,positive
UgxivB1BRrsPDCIf-od4AaABAg,One of my all time favorite Eurovision songs. 💙,positive,positive,positive,positive
UgydKbRNJ4i6w4_-q4x4AaABAg,"Dancing and singing , not missing one note, she is pure perfection",positive,positive,positive,positive
Ugxz9ImoZitkD3AKTcZ4AaABAg,Funny fun fact: That guy that you can hear in 2:55 actually sneezed but he was so on beat that nobody realized 😂,positive,neutral,neutral,neutral
UgwkvTaF5aCv32hBNBl4AaABAg,"One of the best Eurovision entries of all time, love from Türkiye.",positive,neutral,positive,positive
Ugx1bBYLDeD4dnMjlWV4AaABAg,"2004: Greece wins Euro 2004 and hosts the Olympic games.
2005: Greece wins Eurovision song contest and wins EuroBasket.",positive,positive,neutral,positive
UgzMm4LggxO707g2v4J4AaABAg,"who’s ready for the Grand Final this Saturday, where she’ll perform this again after 16 years?! 💙😍",positive,positive,neutral,positive
UgwaElpf0jqReRDHQCx4AaABAg,"I was sitting on the couch watching, while my dad was snacking at the dinner table. This song started. At the 10-second mark, my dad and I looked at each other at the same time. I said ""Dad, this is number one. Definitely!""  Watching the other songs didn't change my mind. :) My neighbor deservedly won. Greetings from Türkiye.",positive,neutral,positive,positive
UgzmC9mQbYkzjzLnhb14AaABAg,"Comment Section :
%50 Turkish comments
%50 English comments from Turks",neutral,neutral,neutral,neutral
Ugzro4_xsbVrVHJJUiN4AaABAg,This song would have won every Eurovision every year,positive,,positive,positive
Ugy-kN--_eGju5AE--x4AaABAg,"One of the many things in existence which can unite both our countries, Greece and Turkey, in the 21st century: 
Our passion for our (much identical) traditions and music! 🇬🇷❤🇹🇷",positive,,positive,positive
UgyQlbs7jWw0XTMtO2V4AaABAg,I'm from Turkey and I think Turkey and Greece made Eurovision what it is today. <3,positive,,positive,positive
UgxXHUO0TUzSBOWGZCV4AaABAg,"Someone saw the 'semi-final' comments and took them personally 😭 

Go Queen!!!!! 🔥🔥🔥",negative,,neutral,neutral
Ugyquba6QFqxXN_3B5Z4AaABAg,You deserved such a better position than 19th Antigoni. This song will be the summer dance hit in Europe ! Well done !,positive,,positive,positive
Ugx0gXBKvWUfvgcbBLV4AaABAg,Not gonna lie… she ate tonight! 😂,positive,,positive,positive
Ugzf-L9neWVMFCoDInB4AaABAg,She was saving her voice for Saturday was actually true.,positive,,neutral,neutral
UgwjHMOq39Mr_9ifoId4AaABAg,"Her actually dancing on the table just like she was born to and the whole crowd screaming ""JALLA"" like they really want to listen to this for hours. That performance was so iconic. JALLA 🔛🔝",positive,,positive,positive
UgzAGNBNd_HXsdjEXSl4AaABAg,The way she improved so much in just a couple of days JALLA JALLA JALLA 🇨🇾 💛,positive,,positive,positive
UgzPEPyUz5IfbFn_ZgF4AaABAg,This song definitely deserved to be in the top 10.,positive,,positive,positive
Ugz27g3SfLYkoZgQPhd4AaABAg,"This was definitely better than the semi final one, I'm taking my comment back. She came back on stage like a queen.",positive,,positive,positive
UgzhKHblOW3_hywCK2h4AaABAg,"""ΑΓΑΠΩΣΕ ΚΥΠΡΟ"" 3:17 🥹🫠means I LOVE YOU CYPRUS, for those wondering.... She made us proud even if the final place wasn't the respectful one! Thank you Antigoni! You gave all of yourself that night and we appreciate it! I'm very happy for you and us ❤",positive,,positive,positive
UgxT49vMoGFJF9sZ4sh4AaABAg,"Her vocals are better this time, which is nice to see.... And even if she finished at 19th place, she slayed on the stage! 
A round of applause to Antigoni and Cyprus for a job well done. 😄👏",positive,,positive,positive
Ugxi0vs1n0GoR-3-rJ94AaABAg,SHE HAD TO LOCK IN FOR THE FINAL,neutral,,positive,neutral
Ugwqz-RkJzC0gx7KvFt4AaABAg,"I'm bulgarian and I'm pround with our winner, but I actually can't stop listening to this.. I love this song <3",positive,,positive,positive
UgzTJrTrn9oF4Q7Bprl4AaABAg,SHE CAME BACK STRONGERRR  🇨🇾🇨🇾🇨🇾🇨🇾🇨🇾🇨🇾,neutral,,positive,neutral
UgzfU2OSWtxvI5mJ1XB4AaABAg,She deserved JALLA 😭✌️,negative,,positive,negative
UgxR83IwIPj6wj28Xjt4AaABAg,She proved why she qualified!!! Excellent performance tonight!! Breathtaking Cyprus!! Thank you Antigoni! We love you ❤,positive,,positive,positive
UgwPCf2PI-m5BljvjwF4AaABAg,Okay she ATE in the final!!!!!!,positive,,positive,positive
Ugxe0iNlC4xhHp0PtRd4AaABAg,WHAT AN EPIC REVENGE <3,negative,,positive,negative
UgweyJMgVG5_tcySS3x4AaABAg,"She managed to bounce back from the mistakes in the semifinals, she ate bro",negative,,positive,negative
UgxPi4JWYhiXCHpWyv94AaABAg,"You got your revenge, queen 💯 You made Cyprus proud — a true winner in our hearts, and the greatest comeback of all!🇨🇾🏆",positive,,positive,positive
UgyVdjgdz1WladyPyXd4AaABAg,Easily deserved top 10! Sending love from your Greek Australians,positive,,positive,positive
UgzseAR6QJo6aPceFpJ4AaABAg,"This is SOOOO MUCH BETTER than the semifinal, go girl, GIVE US JALLA ❤‍🔥 🇨🇾",positive,,positive,positive
UgxmiKihpnB4lhowQj54AaABAg,"I am Bulgarian and proud of our girl, but this song really got under my skin. 
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤",positive,,positive,positive
UgwS7hiAnmrq4xjhr7R4AaABAg,Never doubted the comeback. Antigoni is the best,positive,,positive,positive
Ugwl_XXwOykHvY6M8BV4AaABAg,"Antigoni mou you are the best, you deserved much better 🇨🇾🇨🇾🇨🇾",positive,,positive,positive
Ugy3qIOfSY_hp-MrrHB4AaABAg,It's like night and day comparing this to the semi finals performance 😭😭 This is by far my favorite performance of the night,negative,,positive,negative
Ugya1TbUcN06UHhs8Mt4AaABAg,"Most known Eurovision songs ❌
Bros favourite songs ✅",neutral,,neutral,neutral
Ugw101TZWx4EOsA7AuB4AaABAg,Sax guy was unironically iconic.,neutral,,positive,neutral
Ugy6jFfo87iPQlzyDXt4AaABAg,"fairytale not being number 1 is mad work


edit: ragebait successful lmaooo",positive,,neutral,neutral
UgyOMrHOQhMLbaSk3aF4AaABAg,Europapa was the closest we came to world peace,positive,,positive,positive
UgyXHsJWgsof8sKTO1Z4AaABAg,Snap above fairytale is insane,negative,,positive,negative
UgwyAeDyhbMs2n2Bp8F4AaABAg,I even didn't know arcade was in Eurovision and snap,neutral,,neutral,neutral
UgxcuO0BwiQ0zAgn2A94AaABAg,Arcade and fairytale is my fav😍,positive,,positive,positive
Ugzb2D-AxBLeQSjsnT14AaABAg,Waterloo not being on this list is a fucking sin,negative,,negative,negative
Ugxv1AMqsyJgSZoVQ0p4AaABAg,"I love Europapa, but it can’t be in this list, there’s so much more known songs like Zitti E Buoni or Waterloo",positive,,negative,positive
UgzZdQ9LSGcIYULXLBp4AaABAg,best one is deff Fairytale,positive,,positive,positive
UgxmSc8jmxqAHYMKPpF4AaABAg,Im from norway and its like such an iconic song in norway,positive,positive,positive,positive
Ugx6tD9bbwJIO2TEQu14AaABAg,"Fairytale 
Arcade 
Disrespect was insane

Edit:Does anyone need auto graph",negative,,neutral,neutral
UgxTflZMFFTBIzQ9a054AaABAg,Where is Waterloo??,neutral,,neutral,neutral
UgxOSlQQtzGewmj7aZJ4AaABAg,No but the Europapa guy looks so innocent-,positive,,positive,positive
UgxTc3X2_gU6uA72XkR4AaABAg,"Aleksander once came to my school and performed fairytale for us live. We were maybe 50-100 people, he came right up to my table",neutral,,neutral,neutral
UgyJk_j2k3vtrjZs2yx4AaABAg,I didn't knew arcade and fairytale where in Eurovision. Fairytale has been for years one of my grandma's ringtones so I know it from there. And I've been looking for arcade recently but didn't knew how it went or how it's called. Thank you!!!,positive,,positive,positive
UgzSUtD-YjEC1WCkYkF4AaABAg,fairstyle number one,positive,,positive,positive
UgzEfhkkB0CIkY4ntsp4AaABAg,Hardrock Hallelujah not being here is a crime.,positive,,negative,positive
Ugx4Nn5EVJa8Fekl3HF4AaABAg,No way Waterloo from ABBA isn't in this list...,negative,,negative,negative
UgznYEnruvyHdN0kSot4AaABAg,Source: Trust me Bro,positive,,negative,positive
UgxoCI6cvcPOKksa4lp4AaABAg,RUNAWAY IS A FUCKING CLASSIC BRO I JUST REWATCHED THAT EPIC SAX GUY VIDEO,neutral,,positive,neutral
UgxK1x3CJk0wy8VimE94AaABAg,Waterloo is the most known and also the most important song in Eurovision history. The impact the song had to the entire contest is unbelievable.,positive,,positive,positive
UgyG-tzBOf0XointGgR4AaABAg,I love Fairytale and arcade ❤,positive,,positive,positive
Ugwp2a5yD0qTsUavVBl4AaABAg,I love these all and I think everyone deserves the spot they have (#JusticeforJoost) but where are Waterloo and Zitti e Buoni? I think everyone knows Waterloo and Maneskin is also in the top 400 artists in the world.,positive,,positive,positive
UgxG4HtGBEvMzCD3rY94AaABAg,Europapa being disqualified was the most bs I’ve ever seen to this day,negative,,negative,negative
UgwOWjNDqnMrT3TjE3t4AaABAg,"For all those who don't understand the staging: She is in the room with her demons, her haters and fears. When she won the National Selection she wanted to give up because the Bulgarians beat her on the internet. Despite them, however, she decided to go out and show her talent. As in the staging - in the end she left the room and took control of her demons. What a star, this is art. Winner.",positive,,positive,positive
UgwHAz-L5_rDYG_-I0N4AaABAg,12 points from Croatia 💪,neutral,,positive,neutral
UgydWcjsJ05JIP7UDv54AaABAg,The live performance is even better than the original. This rarely happens! I’m so impressed! Loved every second of it,positive,,positive,positive
Ugy_vFqvrU35j-3y5gd4AaABAg,Whoever choreographed this needs an award !!!!,positive,,positive,positive
Ugx-i_IbwtRoC6nYa-x4AaABAg,"There are SO many details in this performance! Not just the vocal, the movement, even the small facial expression! You can clearly see how much effort the team put into it. Not just Dara, but the whole team, well done.",positive,,positive,positive
Ugy6BO76IqqtQaDqM5Z4AaABAg,"NEVER LEAVE EUROVISION AGAIN BULGARIA 

WELCOME BACK !!",positive,,positive,positive
UgzBh_Et6bQw4CxTeil4AaABAg,12 points from 🇷🇸 🫶 🇧🇬,neutral,,positive,neutral
UgwM5GBBgLGJK6e1_eF4AaABAg,"This song and performance served as proof that success is possible, regardless of the country. As you know, Balkan countries often fail to get the recognition they deserve at Eurovision.",positive,,positive,positive
Ugz4fAbIwKoxd6fHwkx4AaABAg,"This is the best song in eurovision 12 points from Serbia.
Absolute BANGARA",positive,,positive,positive
Ugz4PELW3l9ubSRvA8J4AaABAg,The Balkans are on fire this year and Bulgaria is coming back to the contest in a truly legendary way ❤️ 🇧🇬,positive,,positive,positive
Ugw10s-63bMSb21SijF4AaABAg,12 points from the Georgian jury go to Bulgaria🇬🇪🇧🇬🔥,negative,,positive,negative
UgzUyjbUdxwpe6e5ijN4AaABAg,12 points from Poland go to BULGARIA BANGARANGA LOVE U 🇵🇱❤️🇧🇬,positive,,positive,positive
Ugy6VcNBRvRNEEEZSWp4AaABAg,ppl cant even realise how difficult this is . amazing work blew my head off,positive,,positive,positive
Ugx6-AOurRvum9NLKe14AaABAg,"she was professional mann the expressions, vocals, everything",neutral,,positive,neutral
UgwB_3T9xpBMgW1Ewmh4AaABAg,"I'm shocked at how charismatic DARA is. That's a huge plus from me, and the choreography comes second. Well done, Bulgaria! This isn't the type of song I usually listen to, but as a complete package, you deserve the top spot. Greetings from Croatia.",positive,,positive,positive
UgzaQT9Q3ynW2S0hted4AaABAg,"Bravo DARA! All of Bulgaria is proud of you! Thanks to you, EUROVISION in 2027 will be in Bulgaria! 🇧🇬🇧🇬🇧🇬",positive,positive,positive,positive
Ugx9DqhHK2ZQxtdc9-94AaABAg,Masterpiece! Welldone Bulgaria! What a comeback! 12 points from Croatia! 🇭🇷🤝🇧🇬,positive,positive,positive,positive
Ugyj2jva9P1PKzp-63N4AaABAg,She is amazing!!! I don’t think people realise how hard is to sing and dance at such tempo,positive,positive,positive,positive
UgyGtoX-THn4Tm84A5N4AaABAg,"Sweden here 🇸🇪 — Bulgaria just WON idc 🔥😮‍🔥
This song is INSANE 💥 winner vibes all the way 🏆🇧🇬",negative,positive,positive,positive
UgzfeGYASun28LeMRiZ4AaABAg,nice to see someone win that actually deserved it for once ….,positive,positive,positive,positive
Ugwr4wSUsJbdlAtwDc94AaABAg,Serbia 🇷🇸 is rooting for our sister Dara! 🔥❤️,negative,positive,positive,positive
UgwUeyzcjTD-HP2fBQB4AaABAg,"ABSOLUTELY BANGARANGA
my vote from Greece to our brothers in Bulgaria 🇧🇬 ❤🇬🇷",neutral,positive,positive,positive
UgxmK8iGohfQEnWxXnd4AaABAg,12 points to Bulgaria from Greece¬!!!,neutral,positive,positive,positive
