id,text,ai_opinion,Panagiotis,cleaned_text
UgxpOI8WRwLnoGd148d4AaABAg,"Loved how everyone underestimated her... 

That she is the right choice to represented Bulgaria.
That she might not qualify.
That she might not get into Top 10
That there is no chance to win.

And then she casually came, brought the arena roof down, took all that jury  and televote points, totally turned over the table (and chairs😅), took the trophy and fly back to Bulgaria, leaving everyone in complete shock!

Isn't that quite the journey and story of this year ESC

I am so happy with this win!
That's how Eurovision should be..unpredictable, enjoyable, charging with positive energy!",positive,,loved everyone underestimated right choice represented bulgaria might qualify might get top 10 chance win casually came brought arena roof took jury televote points totally turned table chairs took trophy fly back bulgaria leaving everyone complete shock isnt quite journey story year esc happy win thats eurovision beunpredictable enjoyable charging positive energy
Ugx8_nSD6DmHCYQrEuB4AaABAg,The cinematography of this performance is just perfect. It balances the chaos of the song in just the right way. Well done.,positive,,cinematography performance perfect balances chaos song right way well done
UgyjkESqXd4khFODfgJ4AaABAg,"Win or lose, his mom is going to be so proud of him",positive,,win lose mom going proud
Ugy82HzjcRxCtwwK31Z4AaABAg,"Akylas, the juries did you dirty… You managed to reach the top 6 in the televote and 10th place overall. And you know what? That’s okay.
Because we loved your song, we loved your personality, we loved your positive aura. Be proud of yourself, because we are very proud of you.❤❤",positive,,akylas juries dirty managed reach top 6 televote 10th place overall know thats okay loved song loved personality loved positive aura proud proud
UgzGrcEi0c5w_qBk_xh4AaABAg,"From what I've noticed, I think he's the one who had the most fun out of all the contestants. He just exudes joy and relaxation.😂🎉",positive,,ive noticed think hes one fun contestants exudes joy relaxation
UgwNFELAbDs3_oIwj9J4AaABAg,Thank u so much for everything Europe ❤️ I love u,positive,,thank u much everything europe love u
UgzLKygAyDRlP5QpobJ4AaABAg,"Some win, others become legends",positive,,win others become legends
Ugwyu1y2JnZmTM71IC14AaABAg,"He is a good person, you can see that.
Watch the video when Dara won the way he was dancing in the background without any jealousy, genuinely happy for someone else’s success.
Great things are still ahead of him.
Greetings from Serbia.❤️🇷🇸🇬🇷",positive,,good person see watch video dara way dancing background without jealousy genuinely happy someone elses success great things still ahead greetings serbia
UgzzEQNIZeHIUQZCkwR4AaABAg,"Dear Greece, we both lost so we can stop fighting now🥲 Let’s be friends again 🇫🇮🤝🇬🇷",negative,,dear greece lost stop fighting lets friends
UgwgAH6f8cFsgpwf7-54AaABAg,"My family cannot stop laughing during all the performance, they say he could perfectly be part of us Spaniards. It’s time for Greece’s victory after 21 years. Wishing the best of luck and sending lots of love from Spain, dear Greece 🇬🇷❤️🇪🇸 OPA ELLADA!!!",positive,,family cannot stop laughing performance say could perfectly part us spaniards time greeces victory 21 years wishing best luck sending lots love spain dear greece opa ellada
Ugz6pAOhSOY7pUhT1PR4AaABAg,12 points from all Europeans voters!!! 🎉🎉🎉,positive,,12 points europeans voters
UgxIjDucWZu28FqNugp4AaABAg,"-How many times are you going to watch this?
- FERTO",neutral,,many times going watch ferto
UgybrbRbQT02sQ-Fjt14AaABAg,"This is a perfect Eurovision song. Catchy, sang in the artist’s native language, with a well-executed entertaining performance and a deep meaning hidden behind all the fun? 
I’m happy Akylas is top-10, but he deserved much more.",positive,,perfect eurovision song catchy sang artists native language wellexecuted entertaining performance deep meaning hidden behind fun im happy akylas top10 deserved much
UgxJ4UDYfmbdPbKXPOJ4AaABAg,"*Just a few months ago, Akylas was performing as a street musician, chasing a dream with nothing but talent, perseverance, and belief in himself.*

*Today, Europe has the opportunity to crown him as a winner and send a powerful message to every young person across the continent: that even in the difficult times we live in, hard work, dedication, and self-confidence can still turn dreams into reality.*

Let Europe gather next year under the Greek sky, beside the sea, with unforgettable music, incredible culture, amazing cuisine, and the warmest welcome imaginable.

*This is bigger than a song.*
*This is a story of hope.*
*Bring Eurovision to Greece, bring it back to the Balkans!!* 🇬🇷",positive,positive,months ago akylas performing street musician chasing dream nothing talent perseverance belief today europe opportunity crown winner send powerful message every young person across continent even difficult times live hard work dedication selfconfidence still turn dreams reality let europe gather next year greek sky beside sea unforgettable music incredible culture amazing cuisine warmest welcome imaginable bigger song story hope bring eurovision greece bring back balkans
Ugz28PTlQpsLZuODffR4AaABAg,12 points for Greece from Poland 🇵🇱 my favorite🤩🥰,positive,positive,12 points greece poland favorite
UgwT4yzqbmufiRMAzG94AaABAg,I was so happy that my country gave the brothers 12 points 🇷🇸🇬🇷,positive,positive,happy country gave brothers 12 points
UgwgPMI2cdfCALrASfJ4AaABAg,12 points from Germany.  My winner,positive,positive,12 points germany winner
UgzykBzfgo9J1VBMdbV4AaABAg,AKYLAS BECAME ONE MORE CELEBRITY IN THE EUROVISION HALL OF FAME,positive,negative,akylas became one celebrity eurovision hall fame
UgzTIBhIGbrlfbtSiUF4AaABAg,Serbian jury awarded 12 points 🇷🇸♥️🇬🇷,positive,positive,serbian jury awarded 12 points
UgxR4wKZAF59f9uHQAV4AaABAg,"12 points from Bosnia 🇧🇦🤍🇬🇷 As catchy, upbeat, and positive as the song is, it’s also emotionally heavy. Reading the translated lyrics gave me goosebumps. Go for the win! 🇬🇷🥹",positive,positive,12 points bosnia catchy upbeat positive song also emotionally heavy reading translated lyrics gave goosebumps go win
UgxG7X5X1LYfPvLsv_p4AaABAg,"My vote for Greece from Georgia. Akylas is unbelievably brilliant. Wishing you victory, Greeks!💙💙🫶",positive,positive,vote greece georgia akylas unbelievably brilliant wishing victory greeks
Ugww6cYaOIaK2JFkE0l4AaABAg,12 Points Like BUTTON! Winner 2026 Thats Real ESC Music!,positive,positive,12 points like button winner 2026 thats real esc music
Ugxj-1M-JH_ROPcKHz14AaABAg,"GREECE IS MY FAVORITE COUNTRY IN EUROVION, EVERYTHING THEY SEND IS AMAZING 🇬🇷❤️🇮🇹",positive,positive,greece favorite country eurovion everything send amazing
UgyBH2MRL38LW-n96IZ4AaABAg,Respect from Armenia to Greece,positive,positive,respect armenia greece
UgyoUunrUsAqk00A7t54AaABAg,12 points from USA 🇺🇸 <3,positive,positive,12 points usa 3
UgxIhT-6WGhdG1E7ZoR4AaABAg,12 points from United Kingdom my favourite,positive,positive,12 points united kingdom favourite
UgxFZVaVnv-0MIPAhWl4AaABAg,I am so prouf of our jury 🇷🇸♥️🇬🇷,positive,positive,prouf jury
UgyMANd16xS_zD7Rkwt4AaABAg,"The international collab we've never expected, this will go down as a historical moment 🇲🇦x🇩🇿x🇬🇧x🇫🇷x🇮🇹x🇪🇦x🇸🇳",neutral,,international collab weve never expected go historical moment xxxxxx
UgxcGqeiHkAki8MPtS94AaABAg,Anyone in June 2026 ?,neutral,,anyone june 2026
UgyMvQXxyAzL7xdrZ994AaABAg,"00:27 Rondo🇮🇹
00:54 Baby🇮🇹
1:20 Cee🏴󠁧󠁢󠁥󠁮󠁧󠁿
1:47 A2Anti🏴󠁧󠁢󠁥󠁮󠁧󠁿
2:12 Morad🇪🇸
2:39 Beny Jr🇪🇸
3:07 Ashe 22🇫🇷
3:33 Freeze🇫🇷",neutral,,0027 rondo 0054 baby 120 cee 147 a2anti 212 morad 239 beny jr 307 ashe 22 333 freeze
UgxhtxvCZbWvKYcq1RF4AaABAg,Anyone During this world cup 2026?😊😊,positive,,anyone world cup 2026
UgyFLjOgwzM2xvGRddB4AaABAg,"I HAVE NO WORDS TO EXPLAIM HOW GOOD THIS IS, WHAT A JOINT THAT ALL, I'LL NEVER GET TIRED OF LISTENING TO IT.😍🇲🇦🇩🇿🇬🇧🇫🇷🇮🇹🇪🇦🇸🇳",positive,positive,words explaim good joint ill never get tired listening
UgxONsL5HPFXBNRkHbh4AaABAg,"I am spanish but RONDO it's the best part, it's just amazing how he starts🔥🔥🔥",positive,positive,spanish rondo best part amazing starts
UgwkiB6olmpe99oQCJJ4AaABAg,"4 years later, yet we haven't been any closer to world peace than that.",positive,positive,4 years later yet havent closer world peace
UgyvsdhuARO-CywE4kN4AaABAg,Imagine if Eurovision was brave enough to give a platform to music that actually told the story of what life is like on the streets of Europe's most populated cities.,positive,,imagine eurovision brave enough give platform music actually told story life like streets europes populated cities
Ugy2eqeCJoEbPjINKdR4AaABAg,"Central Cee Has made History. This song is a certified European Masterclass.
667 Ekip",neutral,,central cee made history song certified european masterclass 667 ekip
UgwaQMinYbadpngUuDx4AaABAg,1 song 8 artists 8 languages 8 beats 100% fire,negative,,1 song 8 artists 8 languages 8 beats 100 fire
UgwEwr7LtxUljsICWT54AaABAg,As an American who had never heard of any of these guys before l’m incredibly impressed,positive,,american never heard guys lm incredibly impressed
UgzKK3K4emto5jd2Hv14AaABAg,Rondo Goes the Hardest 💯,neutral,,rondo goes hardest
UgxX-EpOH7JwvlBTcKp4AaABAg,*THE WORK RATE IS MAD!* 🥶💯,negative,,work rate mad
UgwvQmwjxjrdKSVdcDx4AaABAg,I don’t know what half of it says but it slaps anyway 🥶🥶🥶,neutral,,dont know half says slaps anyway
Ugy5e2XSmtgYNSINGDt4AaABAg,The collab is hard! 🙏 🔥,negative,,collab hard
UgwG5EX0OiJpG8uXn4J4AaABAg,Rondoo Drill King🐐💙🇮🇹,neutral,,rondoo drill king
UgykueX_1AD7fCT1tsV4AaABAg,"French brothers killed it with this one🇫🇷🔥
 love from Italy🇮🇹",negative,positive,french brothers killed one love italy
UgyZ6GIsdaOKqHjUaWp4AaABAg,Italy and spain on top🔥💯 rondo baby gang morad and benyjr lit it on fireee,negative,neutral,italy spain top rondo baby gang morad benyjr lit fireee
UgwQO4jfH-KCJqL7viB4AaABAg,Being an American artist / rapper and seeing different countries and culture in the music scene is always dope to see. Everyone got a story to tell and everyone got something new to learn,neutral,neutral,american artist rapper seeing different countries culture music scene always dope see everyone got story tell everyone got something new learn
Ugwd7_4g5VKbb7xGB4R4AaABAg,"I don’t think you understand how massive of a collab this is, it represents every corner of some of the best drill artists in Europe, these drill artists are representing their country in terms of best rappers in their country, Cench got together the best drill artists in Europe and put them together in 1 song, that takes some skill, especially because some of the gangs in this video don’t like each other but to bring them together in 1 music video is amazing",positive,neutral,dont think understand massive collab represents every corner best drill artists europe drill artists representing country terms best rappers country cench got together best drill artists europe put together 1 song takes skill especially gangs video dont like bring together 1 music video amazing
UgzsuoxfpOy1GKEX4Nd4AaABAg,Baby gang went crazy with his flow everyone did his part well done,negative,neutral,baby gang went crazy flow everyone part well done
UgwGrtQylFqQK6aLgKV4AaABAg,1:22 Just listen to the beat🔥,negative,neutral,122 listen beat
UgyRC8qskdRrqf5SK5l4AaABAg,Who ever made the transition from a firework to a smoking blunt need a rise!!! That was WAYYYY TOO CLEAN,positive,neutral,ever made transition firework smoking blunt need rise wayyyy clean
UgwlOySy_mHBrImAA_V4AaABAg,"PROUD TO BE MOROCCAN, BORN IN ITALY AND IM IN FRANCE 🇮🇹🇲🇦🇫🇷",positive,neutral,proud moroccan born italy im france
UgwnRPE-Fx6K0FnYidh4AaABAg,Directed By WILLIAM Thomas (me) 🇪🇺🇪🇺🌍 Thanks to the artists and Central Cee for this 🎥🎥🤯🤯 ! Une réalisation WILLIAM Thomas 🇬🇧🌍🇪🇺🇮🇹🇫🇷🇪🇸😬,positive,neutral,directed william thomas thanks artists central cee une réalisation william thomas
UgwJ3RkoibfSMf--jTt4AaABAg,gonna tell my kids this was Helen of Troy,neutral,neutral,gonna tell kids helen troy
UgxraO9OO0lU4w-b2od4AaABAg,Here again after Bulgaria won Eurovision 2026,positive,neutral,bulgaria eurovision 2026
UgwqQN35EkOt1Dxp1id4AaABAg,Stop asking who’s still here. We aren’t leaving.,negative,neutral,stop asking whos still arent leaving
UgyPBxt-kDvfiFmxY_l4AaABAg,Eurovision week so i cane here to pay my tribute,negative,neutral,eurovision week cane pay tribute
UgzD29K62M79i8I4qsx4AaABAg,"That self-confidence, she came to win, you can see that in her eyes :D",positive,neutral,selfconfidence came win see eyes
Ugwx3yliwjW0kVw06md4AaABAg,"After 16 years, I'm still listening. Helena is the most confident woman in the eurovision history. Her eyes say 'I'm here to win!"" What a charisma! Greetings from Turkey!",positive,neutral,16 years im still listening helena confident woman eurovision history eyes say im win charisma greetings turkey
UgxXiQByIyZmMW9bJ054AaABAg,"This song was a huge hit in the Balkans. 
Bulgaria, Serbia, Romania, Turkey... everyone was listening to this song",positive,neutral,song huge hit balkans bulgaria serbia romania turkey everyone listening song
UgzOEhUoJlTBD_38tzp4AaABAg,"2003 Sertap 🇹🇷
2004 Ruslana 🇺🇦
2005 Helena 🇬🇷
Three wonderful years, Three wonderful women.",positive,neutral,2003 sertap 2004 ruslana 2005 helena three wonderful years three wonderful women
UgjnIIVXef-b33gCoAEC,"Turkey gave 12 points to this song, and more than 5 years i heard this everywhere in Turkey. We love you Greece !",positive,positive,turkey gave 12 points song 5 years heard everywhere turkey love greece
Ugyzga6wfyLXTxS7U2d4AaABAg,I'm still listening this song during quarantine days in Istanbul.,neutral,positive,im still listening song quarantine days istanbul
UgxDuX5_JUhEUSQu0ep4AaABAg,"you can't imagine how a huge hit this song was in Türkiye, we even used it at some schools as schoolbells for years :))",positive,neutral,cant imagine huge hit song türkiye even used schools schoolbells years
UgyX2CZDeDBWpwNAnpd4AaABAg,"She's a Greek goddess
She totally nailed it. She owned the stage that night",neutral,positive,shes greek goddess totally nailed owned stage night
UgxDSdDaRSyrEsKkDRh4AaABAg,"Still hit, still listening!!!! Greetings from Turkey to our neighbour Greece 🇹🇷🇬🇷",positive,positive,still hit still listening greetings turkey neighbour greece
UgxXvjXujw0OQYHp4d54AaABAg,I remember how succesfull this song became in Venezuela . It was played in all clubs.,positive,positive,remember succesfull song became venezuela played clubs
UgxivB1BRrsPDCIf-od4AaABAg,One of my all time favorite Eurovision songs. 💙,positive,positive,one time favorite eurovision songs
UgydKbRNJ4i6w4_-q4x4AaABAg,"Dancing and singing , not missing one note, she is pure perfection",positive,positive,dancing singing missing one note pure perfection
Ugxz9ImoZitkD3AKTcZ4AaABAg,Funny fun fact: That guy that you can hear in 2:55 actually sneezed but he was so on beat that nobody realized 😂,positive,neutral,funny fun fact guy hear 255 actually sneezed beat nobody realized
UgwkvTaF5aCv32hBNBl4AaABAg,"One of the best Eurovision entries of all time, love from Türkiye.",positive,neutral,one best eurovision entries time love türkiye
Ugx1bBYLDeD4dnMjlWV4AaABAg,"2004: Greece wins Euro 2004 and hosts the Olympic games.
2005: Greece wins Eurovision song contest and wins EuroBasket.",positive,positive,2004 greece wins euro 2004 hosts olympic games 2005 greece wins eurovision song contest wins eurobasket
UgzMm4LggxO707g2v4J4AaABAg,"who’s ready for the Grand Final this Saturday, where she’ll perform this again after 16 years?! 💙😍",positive,positive,whos ready grand final saturday shell perform 16 years
UgwaElpf0jqReRDHQCx4AaABAg,"I was sitting on the couch watching, while my dad was snacking at the dinner table. This song started. At the 10-second mark, my dad and I looked at each other at the same time. I said ""Dad, this is number one. Definitely!""  Watching the other songs didn't change my mind. :) My neighbor deservedly won. Greetings from Türkiye.",positive,neutral,sitting couch watching dad snacking dinner table song started 10second mark dad looked time said dad number one definitely watching songs didnt change mind neighbor deservedly greetings türkiye
UgzmC9mQbYkzjzLnhb14AaABAg,"Comment Section :
%50 Turkish comments
%50 English comments from Turks",neutral,neutral,comment section 50 turkish comments 50 english comments turks
Ugzro4_xsbVrVHJJUiN4AaABAg,This song would have won every Eurovision every year,positive,,song would every eurovision every year
Ugy-kN--_eGju5AE--x4AaABAg,"One of the many things in existence which can unite both our countries, Greece and Turkey, in the 21st century: 
Our passion for our (much identical) traditions and music! 🇬🇷❤🇹🇷",positive,,one many things existence unite countries greece turkey 21st century passion much identical traditions music
UgyQlbs7jWw0XTMtO2V4AaABAg,I'm from Turkey and I think Turkey and Greece made Eurovision what it is today. <3,positive,,im turkey think turkey greece made eurovision today 3
UgxXHUO0TUzSBOWGZCV4AaABAg,"Someone saw the 'semi-final' comments and took them personally 😭 

Go Queen!!!!! 🔥🔥🔥",negative,,someone saw semifinal comments took personally go queen
Ugyquba6QFqxXN_3B5Z4AaABAg,You deserved such a better position than 19th Antigoni. This song will be the summer dance hit in Europe ! Well done !,positive,,deserved better position 19th antigoni song summer dance hit europe well done
Ugx0gXBKvWUfvgcbBLV4AaABAg,Not gonna lie… she ate tonight! 😂,positive,,gonna lie ate tonight
Ugzf-L9neWVMFCoDInB4AaABAg,She was saving her voice for Saturday was actually true.,positive,,saving voice saturday actually true
UgwjHMOq39Mr_9ifoId4AaABAg,"Her actually dancing on the table just like she was born to and the whole crowd screaming ""JALLA"" like they really want to listen to this for hours. That performance was so iconic. JALLA 🔛🔝",positive,,actually dancing table like born whole crowd screaming jalla like really want listen hours performance iconic jalla
UgzAGNBNd_HXsdjEXSl4AaABAg,The way she improved so much in just a couple of days JALLA JALLA JALLA 🇨🇾 💛,positive,,way improved much couple days jalla jalla jalla
UgzPEPyUz5IfbFn_ZgF4AaABAg,This song definitely deserved to be in the top 10.,positive,,song definitely deserved top 10
Ugz27g3SfLYkoZgQPhd4AaABAg,"This was definitely better than the semi final one, I'm taking my comment back. She came back on stage like a queen.",positive,,definitely better semi final one im taking comment back came back stage like queen
UgzhKHblOW3_hywCK2h4AaABAg,"""ΑΓΑΠΩΣΕ ΚΥΠΡΟ"" 3:17 🥹🫠means I LOVE YOU CYPRUS, for those wondering.... She made us proud even if the final place wasn't the respectful one! Thank you Antigoni! You gave all of yourself that night and we appreciate it! I'm very happy for you and us ❤",positive,,αγαπωσε κυπρο 317 means love cyprus wondering made us proud even final place wasnt respectful one thank antigoni gave night appreciate im happy us
UgxT49vMoGFJF9sZ4sh4AaABAg,"Her vocals are better this time, which is nice to see.... And even if she finished at 19th place, she slayed on the stage! 
A round of applause to Antigoni and Cyprus for a job well done. 😄👏",positive,,vocals better time nice see even finished 19th place slayed stage round applause antigoni cyprus job well done
Ugxi0vs1n0GoR-3-rJ94AaABAg,SHE HAD TO LOCK IN FOR THE FINAL,neutral,,lock final
Ugwqz-RkJzC0gx7KvFt4AaABAg,"I'm bulgarian and I'm pround with our winner, but I actually can't stop listening to this.. I love this song <3",positive,,im bulgarian im pround winner actually cant stop listening love song 3
UgzTJrTrn9oF4Q7Bprl4AaABAg,SHE CAME BACK STRONGERRR  🇨🇾🇨🇾🇨🇾🇨🇾🇨🇾🇨🇾,neutral,,came back strongerrr
UgzfU2OSWtxvI5mJ1XB4AaABAg,She deserved JALLA 😭✌️,negative,,deserved jalla
UgxR83IwIPj6wj28Xjt4AaABAg,She proved why she qualified!!! Excellent performance tonight!! Breathtaking Cyprus!! Thank you Antigoni! We love you ❤,positive,,proved qualified excellent performance tonight breathtaking cyprus thank antigoni love
UgwPCf2PI-m5BljvjwF4AaABAg,Okay she ATE in the final!!!!!!,positive,,okay ate final
Ugxe0iNlC4xhHp0PtRd4AaABAg,WHAT AN EPIC REVENGE <3,negative,,epic revenge 3
UgweyJMgVG5_tcySS3x4AaABAg,"She managed to bounce back from the mistakes in the semifinals, she ate bro",negative,,managed bounce back mistakes semifinals ate bro
UgxPi4JWYhiXCHpWyv94AaABAg,"You got your revenge, queen 💯 You made Cyprus proud — a true winner in our hearts, and the greatest comeback of all!🇨🇾🏆",positive,,got revenge queen made cyprus proud true winner hearts greatest comeback
UgyVdjgdz1WladyPyXd4AaABAg,Easily deserved top 10! Sending love from your Greek Australians,positive,,easily deserved top 10 sending love greek australians
UgzseAR6QJo6aPceFpJ4AaABAg,"This is SOOOO MUCH BETTER than the semifinal, go girl, GIVE US JALLA ❤‍🔥 🇨🇾",positive,,soooo much better semifinal go girl give us jalla
UgxmiKihpnB4lhowQj54AaABAg,"I am Bulgarian and proud of our girl, but this song really got under my skin. 
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤",positive,,bulgarian proud girl song really got skin
UgwS7hiAnmrq4xjhr7R4AaABAg,Never doubted the comeback. Antigoni is the best,positive,,never doubted comeback antigoni best
Ugwl_XXwOykHvY6M8BV4AaABAg,"Antigoni mou you are the best, you deserved much better 🇨🇾🇨🇾🇨🇾",positive,,antigoni mou best deserved much better
Ugy3qIOfSY_hp-MrrHB4AaABAg,It's like night and day comparing this to the semi finals performance 😭😭 This is by far my favorite performance of the night,negative,,like night day comparing semi finals performance far favorite performance night
Ugya1TbUcN06UHhs8Mt4AaABAg,"Most known Eurovision songs ❌
Bros favourite songs ✅",neutral,,known eurovision songs bros favourite songs
Ugw101TZWx4EOsA7AuB4AaABAg,Sax guy was unironically iconic.,neutral,,sax guy unironically iconic
Ugy6jFfo87iPQlzyDXt4AaABAg,"fairytale not being number 1 is mad work


edit: ragebait successful lmaooo",positive,,fairytale number 1 mad work edit ragebait successful lmaooo
UgyOMrHOQhMLbaSk3aF4AaABAg,Europapa was the closest we came to world peace,positive,,europapa closest came world peace
UgyXHsJWgsof8sKTO1Z4AaABAg,Snap above fairytale is insane,negative,,snap fairytale insane
UgwyAeDyhbMs2n2Bp8F4AaABAg,I even didn't know arcade was in Eurovision and snap,neutral,,even didnt know arcade eurovision snap
UgxcuO0BwiQ0zAgn2A94AaABAg,Arcade and fairytale is my fav😍,positive,,arcade fairytale fav
Ugzb2D-AxBLeQSjsnT14AaABAg,Waterloo not being on this list is a fucking sin,negative,,waterloo list fucking sin
Ugxv1AMqsyJgSZoVQ0p4AaABAg,"I love Europapa, but it can’t be in this list, there’s so much more known songs like Zitti E Buoni or Waterloo",positive,,love europapa cant list theres much known songs like zitti e buoni waterloo
UgzZdQ9LSGcIYULXLBp4AaABAg,best one is deff Fairytale,positive,,best one deff fairytale
UgxmSc8jmxqAHYMKPpF4AaABAg,Im from norway and its like such an iconic song in norway,positive,positive,im norway like iconic song norway
Ugx6tD9bbwJIO2TEQu14AaABAg,"Fairytale 
Arcade 
Disrespect was insane

Edit:Does anyone need auto graph",negative,,fairytale arcade disrespect insane editdoes anyone need auto graph
UgxTflZMFFTBIzQ9a054AaABAg,Where is Waterloo??,neutral,,waterloo
UgxOSlQQtzGewmj7aZJ4AaABAg,No but the Europapa guy looks so innocent-,positive,,europapa guy looks innocent
UgxTc3X2_gU6uA72XkR4AaABAg,"Aleksander once came to my school and performed fairytale for us live. We were maybe 50-100 people, he came right up to my table",neutral,,aleksander came school performed fairytale us live maybe 50100 people came right table
UgyJk_j2k3vtrjZs2yx4AaABAg,I didn't knew arcade and fairytale where in Eurovision. Fairytale has been for years one of my grandma's ringtones so I know it from there. And I've been looking for arcade recently but didn't knew how it went or how it's called. Thank you!!!,positive,,didnt knew arcade fairytale eurovision fairytale years one grandmas ringtones know ive looking arcade recently didnt knew went called thank
UgzSUtD-YjEC1WCkYkF4AaABAg,fairstyle number one,positive,,fairstyle number one
UgzEfhkkB0CIkY4ntsp4AaABAg,Hardrock Hallelujah not being here is a crime.,positive,,hardrock hallelujah crime
