comment_id,topic,video_id,text,author,like_count,published_at
Ugx5B5GnFfVOqMpmGa54AaABAg,Climate,_b_sGbjSVZQ,I live in Brisbane Australia. It is like living in a swamp right now. It has been raining frequently for the last 15 years. I don't mind a few dry months from el nino.  But one of our weather experts recently stated there is no guarantee that the rain will significantly decrease even if el nino is super.,@stevenpeaketrainsandstuff3682,9,2026-06-10 06:45:25+00:00
UgyrFH2lCDLKYIYwuhl4AaABAg,Climate,_b_sGbjSVZQ,Earth: Brand New Day,@GeneralBaguette812,24,2026-06-10 06:02:51+00:00
UgzQbnuYFaxIGcw8vGp4AaABAg,Climate,_b_sGbjSVZQ,"8:56 when your advice to save the world is a payed promotion, respect bro",@Casshh888,20,2026-06-10 02:50:21+00:00
UgwV0nMWRHy92GoOrXR4AaABAg,Climate,_b_sGbjSVZQ,"In Nicaragua just started raining, when usually it starts raining at the beginning of May. So this is already an unusual year.",@FelonMusk101,3,2026-06-10 02:15:41+00:00
UgwDNqvoVdIOWMFmc9x4AaABAg,Climate,_b_sGbjSVZQ,I love how people act like 140 years is a long time when it comes to stuff like this lol,@BobbyDigitalYT,34,2026-06-10 01:31:55+00:00
UgxO7ak9ZOfmR3dv0mZ4AaABAg,Climate,_b_sGbjSVZQ,"Yeah, El Nino is like that drunk uncle who sometimes shows up. However this time his blood alcohol level is 2.5‰ and he is swinging a fireaxe around.",@SuperJukkis,277,2026-06-09 23:56:30+00:00
UgymHtWkwr7GmWokfUJ4AaABAg,Climate,_b_sGbjSVZQ,One thing sure we should quit all these horrible wars and focus on storing food and how to transport them to areas that are going to be in need.,@eaglewings8206,31,2026-06-09 23:03:07+00:00
UgwprDCoZYlIxqkcc4d4AaABAg,Climate,_b_sGbjSVZQ,"I'm watching this video from Nicaragua, where we just recently experienced some of the highest recorded temperatures in our history. The temperature rose as high as 40 degrees Celsius in our capital city, which was very much unprecedented.

We were supposed to be at the end of our summer, when typically rain starts in the month of May, but we didn't get a single drop of rain the whole month. We only got a bit of rain because of Hurricane Cristina, which we're currently experiencing. That hurricane also went ahead and pretty much flooded all of our Pacific beachfront towns.

It's not a great feeling, what we've had in Nicaragua: going from a scorching hot hell to floods.",@antonio.rivera,26,2026-06-09 16:44:58+00:00
UgyQRDRZCHxXAY03Go14AaABAg,Climate,_b_sGbjSVZQ,"As someone from India , I’d like to inform you it’s already having an impact on the annual monsoon season . It officially arrived late by 3 days and now stands at -23% deficient in terms of rainfall.  The monsoon at this point should have covered the entire southern peninsula but it managed to cover only about a quarter.

Update: it's 16 June overall deficiency stands at -64%

Update: it’s 24th June , slight improvement but at a tortoise speed and overall deficiency stands at -43% and it’s all haywire at the moment! 

Update 3/ last update, 6 July : it's all mayhem . Deficit stands at -28% . Some states are about to be flooded whilst some are facing real chance of drought. One state in the east has +139% excess while one In the north faces -56% deficiency",@2241RS,280,2026-06-09 13:16:40+00:00
UgzZRN1bvNfeREHEvfF4AaABAg,Climate,_b_sGbjSVZQ,i love my children. but often i regret bringing them into this world,@humanearthling1847,195,2026-06-09 05:06:03+00:00
Ugztf3lPTHZer1gletB4AaABAg,Climate,_b_sGbjSVZQ,"I live in Maharashtra, India, one of the places in India that receives very high rainfall from the mid of May every year.
Today is June 9th, and we haven't had a single drop of rain so far this year. Things will be really bad this year.",@akashpandit5399,111,2026-06-09 04:00:11+00:00
UgygVtxJbXx04p20Ut14AaABAg,Climate,_b_sGbjSVZQ,I'm sure corporations aren't going to take the opportunity to raise prices and transfer more wealth to the top,@Isurusish,1152,2026-06-09 02:47:12+00:00
UgwTXPDRVAZPU_59rad4AaABAg,Climate,_b_sGbjSVZQ,"Guys, start storing shelf stable food and prepare for problems with store shelves.  Maximize your garden and learn to can.  I’m taking advantage of the orchards this year.  Between the issues with fertilizer and tariffs, farmers are cutting back as it is.  Preparation isn’t political.",@sfdcubfan,182,2026-06-09 01:52:30+00:00
Ugy3mW6WAcLNRrsIcjZ4AaABAg,Climate,_b_sGbjSVZQ,"""The Super Boy"" isn't doing it.  Severe heat, droughts, wildfires, and storms needs a better title. El Viejo Suduroso - The sweaty old man.",@GTCounterFootballShare,65,2026-06-08 23:06:48+00:00
UgxcTSg-lj9gtpfRkEd4AaABAg,Climate,_b_sGbjSVZQ,"Can't really say I ""enjoyed"" this video, per se, but it was super informative and I appreciate how digestible you've made all this anxiety inducing information. Keep up the great work!",@MoribundRamiel,36,2026-06-08 22:59:39+00:00
UgwBlUi49UWuYE2P4I54AaABAg,Climate,_b_sGbjSVZQ,"Supporting the status quo is not moderate. Defending the existence of the ultra rich and of corporations is not moderate. It is not moderate to say, ""Well the planet devouring demon is already here, our only choice is to figure out how to regulate it."" When the people in power are actively enabling the destruction of the planet, defending their existence is fanatical. It's beyond radical, it's just insane. Revolution is the moderate option. Self defense is the moderate option.",@ChandlerJPatey,21,2026-06-08 22:43:46+00:00
Ugx0WlDURnu3H0kdH5t4AaABAg,Climate,_b_sGbjSVZQ,"The proverb ""may you live in interesting times"" keeps coming to my mind what with a new once in a [very long time] event happening every year.",@XRMissie,175,2026-06-08 22:14:19+00:00
UgzBssEWHTk2m0BJoft4AaABAg,Climate,_b_sGbjSVZQ,"Australia here, Literally just had some of the worst rains in recent memory with more to come.",@mrichardson7973,24,2026-06-08 21:43:58+00:00
Ugztn4iZT7nrv9Y4V2N4AaABAg,Climate,_b_sGbjSVZQ,Oh good.  As an Australian I wouldn’t know myself if I wasn’t on fire or underwater.,@SafetyRabbit,960,2026-06-08 21:31:06+00:00
UgzrQQs3W_V4fV4P_RV4AaABAg,Climate,_b_sGbjSVZQ,Peru already stopped all anchovy fishing. And Lima's weather is like summer,@perrylim9728,17,2026-06-08 19:44:29+00:00
UgwIcXwJys1PY0ygA394AaABAg,Climate,_b_sGbjSVZQ,I love how each passing year is significantly worse than the year before.,@ksegg_ffs,1557,2026-06-08 19:27:01+00:00
UgwVcjww_yLSnUuADqp4AaABAg,Climate,_b_sGbjSVZQ,My family comes from Peru. They have been dealing with El Niño events for thousands of years and people of native descent tell stories about El Niño events that happen once every several hundred years that are truly devastating. Supposedly in the mid 500s there was an El Niño so bad it triggered 30 years of droughts and this has been semi-confirmed by ice core samples from glaciers.,@IronFatherJohn,362,2026-06-08 19:24:28+00:00
Ugzi7vfxfAwGG4dw_-l4AaABAg,Climate,_b_sGbjSVZQ,"I'm so happy your channel isn't AI, I LOVE YOUR CONTENT!",@ozwaldo6607,22,2026-06-08 19:16:21+00:00
UgxuJvnLBrgzK6QsRG94AaABAg,Climate,_b_sGbjSVZQ,Can't wait for the US senate to somehow make billions off all this,@jeff6601,531,2026-06-08 18:54:25+00:00
UgyVtlqnK-r12rawfpd4AaABAg,Climate,_b_sGbjSVZQ,After economic disaster now we get El Nino? What a great time to live,@sulthananwar8737,170,2026-06-08 18:54:03+00:00
UgxPk3D9k9QxeaKxfuN4AaABAg,Climate,_b_sGbjSVZQ,So we can expect widespread droughts at the same time that global fertilizer availability has dropped significantly due to the war in Iran. Fantastic,@EightBitMeddler,382,2026-06-08 18:44:17+00:00
UgynHeKR0HTTJi9jL5x4AaABAg,Climate,_b_sGbjSVZQ,Well it's been a fun ride,@Strongasmeat,9,2026-06-08 18:41:16+00:00
UgyUNQaCl_Ba0jbo2W14AaABAg,Climate,_b_sGbjSVZQ,El Niño becoming El HOMBRE,@CarrotSurvivor,644,2026-06-08 18:26:10+00:00
Ugx1jg4E6_9IaRXo0zJ4AaABAg,Climate,_b_sGbjSVZQ,El Nino showed up to kickoff the amoc going away party,@druyoutoo,56,2026-06-08 18:16:36+00:00
Ugwolp6IiGWEhOZbWwd4AaABAg,Climate,_b_sGbjSVZQ,"""The whole world at your fingertips, the ocean at your door""

""20.000 years of this, 7 more to go""

- Bo Burnham, ""That Funny Feeling"", 2021",@PalmDesertRock,71,2026-06-08 18:02:57+00:00
UgzJXXs6t1ZVqibe4l54AaABAg,Climate,_b_sGbjSVZQ,Its all gonna get solved. We just need more data centers.,@hutchsawyer,2946,2026-06-08 17:48:13+00:00
UgwAPN9-kYpIHbyJQi54AaABAg,Climate,_b_sGbjSVZQ,This will likely cause 2027 to be the hottest year ever recorded.,@rob4750,53,2026-06-08 17:42:33+00:00
UgzUboJ5oVUW-cIVCAl4AaABAg,Climate,_b_sGbjSVZQ,"hey man , can you make another video at the end of the year just to check how this turned out?",@radiant1488,1942,2026-06-08 17:32:55+00:00
UgwCgd6OEi5-QGXB7XZ4AaABAg,Climate,_b_sGbjSVZQ,"I guess if it goes above 3 degrees, that would be a Mega El Nino?",@paulis7319,57,2026-06-08 16:56:50+00:00
UgwVJNioilzrrj70_lZ4AaABAg,Climate,_b_sGbjSVZQ,5:15 major major respect for the honestly,@IncriminatedAntelope,19,2026-06-08 16:51:17+00:00
UgyN_nTS3UzHYPR2fLJ4AaABAg,Climate,_b_sGbjSVZQ,Personally I am waiting for Ultra Instinct El Niño.,@TerranigmaQuintet,189,2026-06-08 16:46:55+00:00
Ugx14OBzD2ttYL0cqrl4AaABAg,Climate,_b_sGbjSVZQ,"i’m a hydrologist located in Zambia, el niño size shows during our winters. this year, right now (it’s winter) and temperatures are above 25 degrees which is extremely unusual. regularly it’s 19 degrees on average",@babogam,557,2026-06-08 16:46:07+00:00
Ugz2hMzORHNOSnIGELB4AaABAg,Climate,_b_sGbjSVZQ,the world when it's our turn to be adults 😂🤣,@Costeq,477,2026-06-08 16:39:51+00:00
UgzP-0Ho29J1REl3ENB4AaABAg,Climate,_b_sGbjSVZQ,Don't apologize for the high rate of information...it was necessary.,@Juan_van_Eeden977,511,2026-06-08 16:28:59+00:00
UgzFUHNDaqNi-Mn6on94AaABAg,Climate,_b_sGbjSVZQ,"As a millennial, I would formally like to petition the universe to please stop making me experience a ""once in a lifetime event"" every few months. Thank you.",@RafaelW8,8184,2026-06-08 16:21:26+00:00
UgyFcdGI4y_vBILi1rR4AaABAg,Climate,_b_sGbjSVZQ,Now we are facing El Adõlescente,@devinzandi2596,4338,2026-06-08 16:16:23+00:00
Ugwze6D6bwmkWG3SxD54AaABAg,Climate,_b_sGbjSVZQ,"Want to restore the planet’s ecosystems and see your impact in monthly videos? The first 100 people to join Planet Wild with our code ASTRUM6 will get the first month for free: https://planetwild.com/r/astrumearth/join/6
If you want to get to know them better first, check out their mission about the biggest wildlife corridor: https://planetwild.com/r/astrumearth/m37/6

UPDATE: Just two days after we dropped this video, NOAA officially confirmed the arrival of El Niño. It is currently strengthening and remains on track to become a ""Super El Niño"", matching earlier predictions. 
Read more here: https://www.noaa.gov/news-release/el-nino-forms-expected-to-strengthen-say-noaa-forecasters",@AstrumEarth,189,2026-06-07 18:06:40+00:00
UgzFfYuiVfFse8BsykB4AaABAg,Climate,XJIDvwwPb1Q,"I am a 47yro Man whose living with a debilitating condition worsened by heat
I crave cold weather and long for Winter season unfortunately Winters are nothing like how they used to be
Like clockwork you knew how cold it will be but these days it's scarily mild where I am and hardly noticeable its Winter
I am fearful for the forcible future as I when I was a teen and bombarded with news of greenhouse gas etc had images of the UK living in +40c climates which are dreadful especially for my health
Sad thing is it will happen in due course of what is being done and that is the plan in store for us",@Leehuss5582,0,2026-05-30 11:40:29+00:00
Ugzv6lLjE8OVZixHOOl4AaABAg,Climate,5mctLJjCjPc,"CONSEQUENCES BASED ON 2026 DATA

1. What the data already shows in 2026

· Arctic winter ice is at a record low for March. That means less ice survives into summer, and the ocean absorbs more heat starting earlier.
· Global temperatures in 2025–2026 are already ~1.5°C above pre-industrial. The Arctic is warming 3–4× faster.
· Methane levels are rising faster than any IPCC scenario predicted (NOAA data).
· Ocean heat content is at record highs — that heat will emerge during the next El Niño.

These are not predictions. These are measurements.

2. What a Super El Niño (late 2026) plus low Arctic ice means for winter 2026–2027

Data-based mechanism:

· El Niño transports heat and moisture into the Arctic.
· Warm Atlantic/Pacific water enters the Arctic basin from below.
· Warm air from mid-latitudes enters from above.
· Result: Winter ice cannot form normally. The March 2027 maximum will be far lower than March 2026 — likely below 1 million km² for the first time in history.

Consequence: The double blue ocean event (no ice in winter) happens in March 2027, not September.

That is not speculation. That is physical oceanography and atmospheric science applied to current data.

3. Consequences of a March 2027 double blue ocean event

3.1 Immediate physical (March–June 2027)

· Albedo collapse starts 6 months early — dark ocean absorbs sunlight starting in March instead of June.
· Extra heat added to the climate system in 2027 alone: equivalent to ~15–20 years of current human CO₂ emissions.
· Global temperature jumps +0.6–0.8°C within 3 months of ice loss.
· By June 2027, global anomaly exceeds +2.2°C above pre-industrial.

3.2 Methane (starting immediately)

· Sea ice acts as a physical barrier preventing methane venting from shallow Arctic seas.
· With no winter ice, the East Siberian Arctic Shelf warms year-round.
· Methane hydrates destabilize rapidly — plumes become kilometer-wide boils.
· Atmospheric methane jumps from ~1,900 ppb (2026) to 3,000+ ppb by late 2027.
· Additional warming from methane alone: +1.0–1.5°C by 2028.

3.3 Agriculture (2027 growing season)

· Spring 2027 planting impossible in most of Northern Hemisphere.
· Reasons: late frosts, then sudden heatwaves, then floods or drought — all in one season due to jet stream collapse.
· No fertilizer (natural gas supply chains already broken by late 2026 due to El Niño disruptions).
· No fuel for tractors, harvesters, irrigation pumps.
· Global grain harvest in 2027: less than 20% of 2025 levels.
· Result by late 2027: Famine kills 3–4 billion people directly. The rest face starvation by early 2028.

3.4 Energy and infrastructure

Nuclear:

· ~440 reactors worldwide.
· By May–June 2027, rivers used for cooling are either:
  · Too low (drought)
  · Too warm (heatwaves)
  · Flooded (extreme rain)
· Grid failures begin by April 2027 (heat waves cause demand spikes, transmission lines sag and fail).
· Without grid power and without diesel resupply (fuel chains broken), reactors scram.
· Spent fuel pools need continuous cooling. After 2–4 weeks without power, they boil dry.
· By September 2027, >200 sites have released significant radiation. Northern hemisphere contaminated.

Electricity:

· No thermal plants running by July 2027 (no cooling, no fuel).
· Hydro fails (drought or floods beyond design).
· Solar/wind work locally but no grid synchronization, no spare parts, no manufacturing.
· Result: No large-scale electricity anywhere after September 2027.

Internet:

· Data centers run on generators until fuel runs out — 2–8 weeks after grid fails.
· Undersea cables fail (no repair ships, ports inoperable).
· Satellites lose ground control.
· By August 2027, global internet is gone. Permanently.

Oil:

· Refineries need power and hydrogen. Both gone.
· Pipelines rupture from permafrost thaw and temperature extremes.
· Tanker shipping stops (no ports, no navigation).
· Result: Oil extraction, refining, and distribution end completely by mid-2027.

3.5 Water and sanitation

· Water treatment plants stop (no power, no chemicals).
· Sewage pumps fail.
· Cholera, typhoid, dysentery return to every city within weeks of grid collapse.
· By late 2027, most urban water sources are contaminated with raw sewage and heavy metals (from flooded industrial sites).

3.6 Human mortality (2027 only)

Causes:

· Heat: Wet-bulb 35°C exceeded for days to weeks in India, Pakistan, Bangladesh, Middle East, Southeast Asia, West Africa, Brazil, southern US. Survivability limit. Hundreds of millions die.
· Famine: 3–4 billion dead by end of 2027. No food imports — every region for itself.
· Disease: Cholera, dysentery, typhus, plus untreated injuries. Tens of millions.
· Violence: Wars over remaining food, water, arable land. Nuclear weapons possible (India-Pakistan, US-Russia-China). Hundreds of millions.
· Radiation: From nuclear meltdowns. Millions to tens of millions from acute radiation, more from long-term cancer (but long-term will not matter for most).

Total by January 1, 2028: ~4 billion dead (conservative). Likely 5–5.5 billion in worst-case.

Remaining population: 2.5–3.5 billion, mostly in:

· High-latitude inland areas (northern Canada, Alaska, Siberia, Scandinavia)
· High-altitude refugia (Andes, Himalayas, Rockies)
· Regions that happened to have local manual agriculture and clean water (very few)

---

4. What happens after 2027 — no improvement

2028–2030:

· Methane from permafrost and hydrates pushes global warming to +3.5–4.5°C.
· AMOC collapses (Atlantic circulation stops). Western Europe deep freeze even as global average rises.
· Greenland melt accelerates → sea level rise of several cm per year.
· Remaining agriculture fails everywhere except tiny high-latitude patches.
· Population drops to 500 million – 1 billion.

2031–2040:

· Ocean anoxia (no oxygen) → marine life largely extinct.
· Terrestrial ecosystems collapse — forests dead, soil erosion, few insects, no pollinators.
· Photosynthesis fails in most regions during summer (temperatures >45°C).
· Population drops to 50–200 million (survivors in Arctic refugia, caves, high mountains).

2040–2100:

· Hothouse Earth stabilized at +6–8°C.
· No ice at poles.
· Sea level +10–20 meters.
· Human population likely below 10 million — fragmented, pre-industrial, illiterate, no memory of civilization.
· Extinction within a few centuries (population too small, too inbred, too stressed).

---

5. The data-based conclusion

Based on what we know in 2026:

· Record-low Arctic winter ice
· Rising methane
· Record ocean heat
· A developing Super El Niño
· The physical impossibility of winter ice formation under those conditions

The double blue ocean event in March 2027 is not a speculative scenario. It is a logical consequence of the data.

And the consequences, without filters, are:

· No food
· No electricity
· No internet
· No oil
· Nuclear meltdowns
· Billions dead in 2027 alone
· Methane-driven runaway warming
· Civilization ends permanently
· Human species likely extinct by 2100

There is no recovery. There is no rebuilding. There is only a faster or slower collapse.",@Grahzee1967,0,2026-05-23 22:40:25+00:00
UgyiU8jxX7ZfvGiim1x4AaABAg,Climate,5mctLJjCjPc,"FACT: ""CLIMATE CHANGE"" IS FRAUD. CO2 EMISSIONS DON'T MATTER.",@mercury7d5h3s87,0,2026-05-14 13:15:45+00:00
Ugxd1hIN16gfBwPpsxN4AaABAg,Climate,XJIDvwwPb1Q,"The problem is the non-disclosure of new energy sources [ that people don't really believe in, but there is also a reason why they are not being disclosed: ""Humans have to be able to prevent war and eventually that will become possible - ie: The Kristal Spiral activation"".]  , because obviously just renewables are not enough to replace fossil fuels.    But there may be other economic reasons.",@eev24eshmolikali,0,2026-05-06 18:40:03+00:00
Ugzq1DWAQhqk2XZPRbx4AaABAg,Climate,5mctLJjCjPc,A few thousand years ago the eath was so hot.antartica was full of rainforests.climates change.its as simple as that.just because  the earth is full of people now its all our fault.for all the green party members worldwide you dont have a clue whats goin on.all you want is everyones money.climate is changing,@jamesdavy8343,0,2026-04-29 12:33:13+00:00
UgzGHLLQVmB6mOw6gXx4AaABAg,Climate,tRA2SfSk2Tc,So you’re telling me the switch to papers straws didn’t work?,@MikeyH981,4,2026-04-24 20:00:57+00:00
UgyZ-o1c6JXDe7aKbK14AaABAg,Climate,5mctLJjCjPc,Music is good!!! 😂,@DylanEmlyn,0,2026-04-02 14:51:06+00:00
UgwPoJaqYBYTZmD65DN4AaABAg,Climate,XJIDvwwPb1Q,When you STARE into the ABYSS=THE ABYSS STARES BACK...Nietzche.,@tr7b410,1,2026-04-01 02:21:34+00:00
UgyRwM4Akrro7Pr7KHt4AaABAg,Climate,XJIDvwwPb1Q,Aloha from Hawai'i.... I just subscribed to channel and look forward to learning more of reasoning why change is happening.  May you all be well wherever you go.,@CacikeAnacaona,0,2026-02-20 21:14:30+00:00
Ugx5v6QpkFwz-sBlef94AaABAg,Climate,tRA2SfSk2Tc,"Same here. I remember, as a kid we would go sledding on desert dune slopes when it snowed in the winter, and it would be a real true honest cold winter. This was northern arizona at 3500-4000 ft. above sea level. I remember walking through thick snow each time also. Likewise, not anymore.",@williamsohveymah5550,1,2026-02-16 04:11:17+00:00
UgwsEQBvAPsOTMxF4VJ4AaABAg,Climate,5mctLJjCjPc,"We are inside a train rolling down the hill without bakes.
James Hansen predicted in Dec 2025 that we will reach 1.7 deg C already in 2027, and this is just the begining. I am a recognized multidisciplinary scientist and study this for decades. 
It is better to alert and tell the truth to people than to sugar coat it as most institutional scientists do and individuals will be caught by surprise and mass mortality spreads...sorry!",@BLUESKY10X,0,2026-02-13 20:28:53+00:00
UgwB3A6EOai5dDid9ed4AaABAg,Climate,XJIDvwwPb1Q,Got to say big up my man Paul Beckwith keeping this layman informed all these years,@oldboots,0,2026-02-12 13:45:08+00:00
UgxKzqiqOEqWsm5F82h4AaABAg,Climate,XJIDvwwPb1Q,Very important news!,@ericberger1000,1,2026-02-03 03:14:11+00:00
Ugy6OcTiFBAomKpnCid4AaABAg,Climate,XJIDvwwPb1Q,Thank you for the update!,@cian5467,0,2026-02-01 21:42:15+00:00
UgzJu0gYHEeoLr0P1pR4AaABAg,Climate,XJIDvwwPb1Q,"Great video! Maybe a video topic is how the military is not (fully) factored in the climate change models because they don't have to provide the data, but is indeed a huge polluter. This will worsen when (not if) geopolitics get even worse",@plattt23432,1,2026-01-27 21:04:18+00:00
Ugwcc8QJ2Qax899yK6R4AaABAg,Climate,XJIDvwwPb1Q,good info,@gregflock380,0,2026-01-26 14:50:10+00:00
