id;text;ai_opinion;Alex;cleaned_text
UgzAWc8P_XbJ9flDHZ94AaABAg;As a football fan, never rooted for Spain this hard in my life. Thank you for saving football.;positive;positive;football fan never rooted spain hard life thank saving football
UgyNDBbsnjQNOntqDvl4AaABAg;This result is a justice for Egypt. Congratulations Spain 🎉;positive;positive;result justice egypt congratulations spain
UgyasPaWbOOUvsuwexN4AaABAg;It would be unfair for Argentina to win with such a rough and unforgiving game. Spain trained and won. Spain played football. Congratulations from Uzbekistan;positive;positive;would unfair argentina win rough unforgiving game spain trained spain played football congratulations uzbekistan
Ugy-Zp8Y2AzqCTn_Z_J4AaABAg;Argentina would have lost 4-0 if it weren’t for Martinez;negative;negative;argentina would lost 40 werent martinez
Ugzj_3cfO9wISF2ec2F4AaABAg;*I’ve never been so satisfied in a long time, thank you Spain for saving footbal.*;positive;positive;ive never satisfied long time thank spain saving footbal
UgyE2QkwnaOC79qrzAl4AaABAg;Love from Pakistan.. Congratulations Spain;positive;positive;love pakistan congratulations spain
UgzGsDAQBlvQaMrTRUt4AaABAg;Argentina had more red cards than attempts at goal in the whole 90 minutes of duration.;neutral;negative;argentina red cards attempts goal whole 90 minutes duration
UgwMUS0VIyPbDS1V2i54AaABAg;"As Tony Kroos said: ""Football won.""";positive;positive;tony kroos said football
Ugx_-cjfLAZ7gzARLw14AaABAg;"*_""Football Won""_*

*- Toni Kroos* 🇩🇪🤝🇪🇸";positive;positive;_football won_ toni kroos
Ugx2q5zLy0xyc-8qWyp4AaABAg;Fun fact, Spain only conceded a single goal throughout this entire tournament. Well deserved win;positive;positive;fun fact spain conceded single goal throughout entire tournament well deserved win
UgzzREbDVeEJO9xEshl4AaABAg;Was Argentina aware that they could shoot to score instead of shooting to foul? Football won today!;positive;negative;argentina aware could shoot score instead shooting foul football today
UgwgRZmdltp5zOj4qVt4AaABAg;Thank you Spain for saving the art of football;positive;positive;thank spain saving art football
UgyTrWHlWPzRsSIsT9J4AaABAg;""" Iced Tea and a game of Football ""  😮 they Changed the lyrics . Ohhh so iconic";neutral;neutral;iced tea game football changed lyrics ohhh iconic
Ugw0t4SnK_uqQ7WDtNB4AaABAg;"fun fact:
bts had their concert in paris the day before. as soon as the concert was over, they caught an eight hour flight. when they landed, they began rehearsing for the performance. they gave the world such an amazing experience even after getting no rest. this is bts.";positive;neutral;fun fact bts concert paris day soon concert caught eight hour flight landed began rehearsing performance gave world amazing experience even getting rest bts
Ugyzir4efqcA-sYcNwJ4AaABAg;No matter how massive they become or how big the stadium is, they still perform with the exact same hunger and dedication as day one. That's why I'll always be proud to be an ARMY. I hope they continue to fly even higher because all their hard work and dedication deserve nothing less❤;positive;neutral;matter massive become big stadium still perform exact hunger dedication day one thats ill always proud army hope continue fly even higher hard work dedication deserve nothing less
UgyCYFnsYhU0SBNrvRx4AaABAg;"yoongi said ""paris to new york"" 11years ago. Again Yoongi gets what he wants.";neutral;neutral;yoongi said paris new york 11years ago yoongi gets wants
Ugznlx2qbMqGFSzAHER4AaABAg;The guys pulled that performance off in less than 24 hrs from their show in Paris last night. So proud of them.;positive;neutral;guys pulled performance less 24 hrs show paris last night proud
Ugys1LfkqUid4LcwS0N4AaABAg;They gave them 1 m8n 45 sec and they said let's make history❤;positive;neutral;gave 1 m8n 45 sec said lets make history
UgxM1AtXIzGrwjPihgd4AaABAg;One of only a few performances at the World Cup that was done live without lip syncing. Respect❤;positive;neutral;one performances world cup done live without lip syncing respect
UgwJ6Z3rZ1dS1f_yCDJ4AaABAg;"""King kong, kick the ball"" & ""Iced tea and a game of football"" They're SO iconic for this... so so happy & proud right now💜";positive;neutral;king kong kick ball iced tea game football theyre iconic happy proud right
UgxZCM5yrR2Zea-Wzq94AaABAg;The fact that they changed their lyrics to fit the setting of the World Cup is one of the many reasons why they’re the goats;positive;neutral;fact changed lyrics fit setting world cup one many reasons theyre goats
UgzhE3qNASofayccqJd4AaABAg;imagine being chosen to perform at the first-ever halftime show of the biggest sporting event in the world and then returning to the exact same stadium next month for your sold-out concerts… yeah that’s the biggest band in the world BTS!;positive;neutral;imagine chosen perform firstever halftime show biggest sporting event world returning exact stadium next month soldout concerts yeah thats biggest band world bts
Ugw9bzJHWT7-vkmRwdd4AaABAg;I’m obsessed with this performance wanted more!;negative;positive;im obsessed performance wanted
Ugzcftf_3Dv8qEBfYJV4AaABAg;The only group artist i'll never get tired of watching❤;positive;neutral;group artist ill never get tired watching
Ugy-a8rYgwsQIr6gttN4AaABAg;BTS gained a lot of fans again after these performances but why they only get 1:51 mins;positive;neutral;bts gained lot fans performances get 151 mins
Ugwm320dpjnEzQnZr5x4AaABAg;The only performance I loved from the show. BTS once again showed the word their artistic work;positive;neutral;performance loved show bts showed word artistic work
UgyWE-2_emSdteOOnNF4AaABAg;"BTS brought a new atmosphere to the stadium, thanks to FIFA for inviting them.
Edit: Thanks for the likes";positive;neutral;bts brought new atmosphere stadium thanks fifa inviting edit thanks likes
UgyNUD3-wLmq5i8ysrt4AaABAg;Less than 24 hours they were performing in Paris with the highest audience 92,000 thousand.Thank you BTS for your hardwork.We love so much;positive;neutral;less 24 hours performing paris highest audience 92000 thousandthank bts hardworkwe love much
UgzJ6hkSdzNhJ5xfpdt4AaABAg;the fact they did this MID tour probably jet lagged and still managed to pull off a great performance is just what BANGTAN does 💜;positive;neutral;fact mid tour probably jet lagged still managed pull great performance bangtan
UgzyI3EhF49DfHEziVN4AaABAg;Jungkook’s intro is iconic. 🔥;negative;neutral;jungkooks intro iconic
UgypQ8FfkT_-xEuAh3R4AaABAg;The transition from the Viking row celebration to Jungkook 💯;neutral;positive;transition viking row celebration jungkook
UgyrE9YThjSIPUFbmHV4AaABAg;FIFA choosed the right band...😭💜✨;positive;positive;fifa choosed right band
UgzuTYD-b81aICXV-Mx4AaABAg;1 min 51 was enough for them to own the whole stadium 🏟️🙌🏻💜;positive;neutral;1 min 51 enough whole stadium
UgyCk5EVKzmcd0d3-GV4AaABAg;"This demonstrates that they don't need much to stand out—not even two minutes. They showed up, performed, and completely crushed it. Everyone else was left staring in awe. There's a reason BTS is known as the kings; it's not just empty talk";negative;neutral;demonstrates dont need much stand outnot even two minutes showed performed completely crushed everyone else left staring awe theres reason bts known kings empty talk
Ugx4r8E8owqp7SUFKFh4AaABAg;Who's gonna tell the boys with eyeliner will perform at the fifa world cup oneday, we are so proud of you!;positive;neutral;whos gonna tell boys eyeliner perform fifa world cup oneday proud
Ugzwb_UFNR7OlYebN0J4AaABAg;No one owns the stage like BTS. Absolute legends!!;positive;neutral;one owns stage like bts absolute legends
Ugx5i1vG7R0IlOsoPQl4AaABAg;The only bad thing about this is that it wasn't long enough 😂;negative;neutral;bad thing wasnt long enough
UgxoqbCFAGGHG87Bb154AaABAg;Why does all Argentina matches feels like a world cup final bro 😭❤‍🔥;negative;positive;argentina matches feels like world cup final bro
Ugw9ljfcoK1fwWAhwOx4AaABAg;We thought Messi reached his peak last World Cup until he carried Argentina to possible back-2-back title at the age of 39 years old. Insane longevity!;negative;positive;thought messi reached peak last world cup carried argentina possible back2back title age 39 years old insane longevity
Ugyy7owg2SRFM1mHU1x4AaABAg;I'm Vietnamese, and I think the people of Argentina are so lucky to have such a united team, and especially to have Messi on the field 👏👏👏;positive;positive;im vietnamese think people argentina lucky united team especially messi field
Ugxl4iZaNcLykwLkxjd4AaABAg;This tournament has shown the clear difference between Messi and the rest. THE GOAT;positive;positive;tournament shown clear difference messi rest goat
Ugy0MDcGLmdOWgXFYeZ4AaABAg;This legit felt like an anime episode. They really won with the power of friendship. 😭;positive;positive;legit felt like anime episode really power friendship
UgwIFLTYnclCzRlnSvx4AaABAg;"if no goal do assist 
If no assist score goal 
Best playmaker , Brilliant Messi .";positive;positive;goal assist assist score goal best playmaker brilliant messi
Ugxw9ptXoIZTR7iqMsd4AaABAg;Messi went from competing with Ronaldo for a decade to prime Mbappe for golden boot and Yamal in the final at the age of 39 years old. Insane longevity! 🐐;negative;positive;messi went competing ronaldo decade prime mbappe golden boot yamal final age 39 years old insane longevity
UgwXVDlb5ACnBx6TQGB4AaABAg;This old Messi reminds me of the old Zidane who carried France into the final WC2006. Hope Messi will get better result and touch the golden cup one more time, then the debate who’s GOAT would come to an end.;positive;positive;old messi reminds old zidane carried france final wc2006 hope messi get better result touch golden cup one time debate whos goat would come end
UgzqT8-vPYOdL-R8i7d4AaABAg;39 years old still the best player in the world！UNBELIEVABLE！;positive;positive;39 years old still best player worldunbelievable
UgxiIEJF7g764qHthXl4AaABAg;Whatever Argentina takes in the second hydration break in every match, I need it.;neutral;positive;whatever argentina takes second hydration break every match need
UgzCAzpGdaYCYjQ3GkZ4AaABAg;I really thought Argentina had lost against England in 80 minutes, Suddenly they pulled off the comeback, What a great match.;positive;positive;really thought argentina lost england 80 minutes suddenly pulled comeback great match
UgxRZzTRh43d8ofo1GB4AaABAg;"This is one of the best comebacks I've ever seen at the Worlds Cup.
Congrats to Argentina and Spain for making it to the final.";positive;positive;one best comebacks ive ever seen worlds cup congrats argentina spain making final
UgyaIrtgz1cvcocmz-x4AaABAg;Messi deserves best young players award 🗿🐐;positive;positive;messi deserves best young players award
UgxxLmxKzzLcdDXMHa54AaABAg;ARGENTINA THE BEST, NEVER GIVES UP!;positive;positive;argentina best never gives
UgxJNs4ALjZ3ufUjZyd4AaABAg;Bro changed his role as striker to midfielder 2 greatest accurate assist what a player! no ego salute 🫡❤;positive;positive;bro changed role striker midfielder 2 greatest accurate assist player ego salute
UgwXokCrFITYSy3AAPV4AaABAg;In this match, Argentina perfectly demonstrated the spirit of teamwork and never giving up.;positive;positive;match argentina perfectly demonstrated spirit teamwork never giving
Ugyd3w6CkHEya6_lHHN4AaABAg;Thank you Messi. Seeing you play so well in all of your matches and reaching the Final was wonderful to see. I am grateful that I got to see you and Ronaldo score goals again. I feel like my childhood has come to an end. I will surely watch the next World Cup with passion but I will be a married man. Thanks for all the wonderful memories.;positive;positive;thank messi seeing play well matches reaching final wonderful see grateful got see ronaldo score goals feel like childhood come end surely watch next world cup passion married man thanks wonderful memories
UgzVtwIEMrvQsztJflp4AaABAg;"The commentator is clearly an England fan. 

You can tell he’s hurt.";positive;negative;commentator clearly england fan tell hes hurt
UgzuqfNrf28GxI96mm14AaABAg;They never give up and they are always comeback. You can hate them, but u must admit they fighting spirit, vamos Argentina!;negative;positive;never give always comeback hate u must admit fighting spirit vamos argentina
Ugz25BrJ5dnBMAnZ62N4AaABAg;Messi is the only player in history to move like his prime days at the age of 39 he is insane;negative;positive;messi player history move like prime days age 39 insane
UgzUJYa1yW4lK409joB4AaABAg;Lionel Andrés Messi Cuccittini, what a blessing you are for football!;positive;positive;lionel andrés messi cuccittini blessing football
UgwIAbKV78-ND3MLStx4AaABAg;1:41 commentetor surely england fan;positive;negative;141 commentetor surely england fan
UgyOvPHdyoIXq2hiCW14AaABAg;How anyone can compare Ronald to Messi just amazes me 😂 this man is a legend;positive;positive;anyone compare ronald messi amazes man legend
UgyRf1IAJwVDMUdH_yB4AaABAg;Messi 8 goals + 4 assist in 39 years = An incredible achievement all of times.;neutral;positive;messi 8 goals 4 assist 39 years incredible achievement times
Ugy7MeyMOMnJrbX1Rkp4AaABAg;"Never seen a team so confident as to consistently comeback at 80+ minutes at this level.... Whatever happens, this Argentine team will not lose the final. Not after passing through so many struggles & tests.

 This Argentine team is not behaving like a "" team"" but rather like a "" cult"" following Messi. Spain knows that even if they lead by two goals, it's not over till final whistle. It's scary...";negative;positive;never seen team confident consistently comeback 80 minutes level whatever happens argentine team lose final passing many struggles tests argentine team behaving like team rather like cult following messi spain knows even lead two goals till final whistle scary
UgwsV_lmwMGpl2S74tt4AaABAg;"Spain don't depends on one player, they're playing as a team. 
Congratulations Spain.";positive;positive;spain dont depends one player theyre playing team congratulations spain
UgzWsN9FD9JGXZfRkO54AaABAg;"Spain is the literal definition of ""teamwork makes the dream work""";positive;positive;spain literal definition teamwork makes dream work
Ugw4yql8lUBJDfrPeU54AaABAg;Never thought any team could dominate the France team like this. ..;positive;positive;never thought team could dominate france team like
Ugyh3i0PuEBYpBltXeV4AaABAg;After this match, Cabo Verde's(vozinha) reputation rose even further📈;neutral;positive;match cabo verdesvozinha reputation rose even
UgwU0v44vdg059paZC54AaABAg;I admit I didn't expect that. France was unstoppable until then.;neutral;positive;admit didnt expect france unstoppable
Ugx6ahtULlSG88VqInJ4AaABAg;Spain didn’t just win , they exposed France. Calm, sharp, and fully deserved.;positive;positive;spain didnt win exposed france calm sharp fully deserved
UgxDBPOf2j8LtVqFO514AaABAg;Who's here after they won the world cup by defeating Argentina!? Crazy play by Spain! 🎉🎉💯💯;positive;positive;whos world cup defeating argentina crazy play spain
Ugy7__Dq79B2snRBy-x4AaABAg;they did'nt just won they dominated the entire game 🏆✨🇪🇸;positive;positive;didnt dominated entire game
Ugy_TUTrApeRiT3Y0Kh4AaABAg;What a game by spain totally dominate ❤🇪🇸;negative;positive;game spain totally dominate
UgxTd89XFyhvrnCRFEp4AaABAg;As soon as France faced a real midfield and defence line, they showed their true weakness.;positive;positive;soon france faced real midfield defence line showed true weakness
Ugz7KWc1-sLhrdETd4Z4AaABAg;.	Spain showed that champions aren’t built around one player, they’re built on teamwork. Congratulations, Spain🎉;positive;positive;spain showed champions arent built around one player theyre built teamwork congratulations spain
UgxAvDrRNZJVLUANeX54AaABAg;As a French supporter, France was completely absent throughout the entire match... Spain deserves victory;positive;negative;french supporter france completely absent throughout entire match spain deserves victory
UgwDCZB7RMCS9Db58dh4AaABAg;France was properly humbled in this match.;neutral;negative;france properly humbled match
UgxNufZttloaUWDCjRZ4AaABAg;Their passing and attacking capability make them unstoppable..;negative;positive;passing attacking capability make unstoppable
Ugx_fdfV1iW7w6h5M214AaABAg;Oyarzarbal’s penalty was absolutely world class. None of the stuttering theatrics;negative;positive;oyarzarbals penalty absolutely world class none stuttering theatrics
Ugx6cHPgFxhged-izld4AaABAg;As someone who favors France for this match, felt like this is the most fair referee in recent matches;positive;positive;someone favors france match felt like fair referee recent matches
Ugx-kMg4OsXLM7olUuh4AaABAg;Spain's midfield was the key in this game, hoarded possession and never made mistakes while progressing the ball well. France's attack is insanely talented but their midfield was their weakness.;negative;positive;spains midfield key game hoarded possession never made mistakes progressing ball well frances attack insanely talented midfield weakness
UgzOOfFwmuxMSSFWl7d4AaABAg;spain made really proud by knocking the most dangerous team this world cup;neutral;positive;spain made really proud knocking dangerous team world cup
UgzmX0TRtzGJ0gJWdm94AaABAg;Who's after spain won the world 🗿;positive;positive;whos spain world
UgxpZn7v218oFOMX7PR4AaABAg;Spain plays collectively, their playing style is impressive.;positive;positive;spain plays collectively playing style impressive
Ugwh9EclzurrHX3rMad4AaABAg;A TEAM playing like an absolute unit always win against a team dependent upon one or two KEY players.;positive;positive;team playing like absolute unit always win team dependent upon one two key players
Ugw4eOaYX0c1oIkQ7v14AaABAg;Back to 2010 when Spain qualified to the final for the first time in South Africa;neutral;positive;back 2010 spain qualified final first time south africa
UgwfreCYxBswLY7s7V54AaABAg;Their defense was exceptional and highly impressive. They didn’t let France score a single goal. What a teamwork!;positive;positive;defense exceptional highly impressive didnt let france score single goal teamwork
Ugz5tiTVgQWtIHgLbhJ4AaABAg;Guys I swear I didn't expect France would get crushed by Spain. They literally taught them how to play football. Throughout the game, tiki taka 😂❤;positive;positive;guys swear didnt expect france would get crushed spain literally taught play football throughout game tiki taka
UgwyZLeF7prgb2Fb8_R4AaABAg;Highlights don't show how fabulous the midfield duo of Rodri and Fabian were this game;negative;positive;highlights dont show fabulous midfield duo rodri fabian game
UgzSn7ixZnWrY7li-TR4AaABAg;Norway's goalkeeper was just goated;neutral;positive;norways goalkeeper goated
UgwhYffbThr1AP3H5wV4AaABAg;The goal keeper was equally responsible for Norways win ❤;positive;positive;goal keeper equally responsible norways win
Ugy4-1Y0eYdm8sLollJ4AaABAg;Haaland second goal was something else;neutral;positive;haaland second goal something else
UgyKDTyha0owAYqAJ6N4AaABAg;The Vikings came to conquer. Please win the cup.;positive;positive;vikings came conquer please win cup
Ugx1zjhV2Sx-R62SYWh4AaABAg;Haaland is playing like the World Cup is a normal tournament.;positive;positive;haaland playing like world cup normal tournament
UgyFgZzl5jfbdwL9TXl4AaABAg;The aura turnaround from Haaland after the second goal lol. It looks like such a casual goal for him lol;positive;positive;aura turnaround haaland second goal lol looks like casual goal lol
UgxtAuMth2M5TeAQPIV4AaABAg;people all talking about Haaland, for me the MVP for this match is the Goal Keeper;neutral;positive;people talking haaland mvp match goal keeper
Ugz0XMGxQxkloRPRq414AaABAg;Hats off to Norway keeper for excellent saves.;positive;positive;hats norway keeper excellent saves
UgyMwbWrdC49CPzwdB94AaABAg;Haaland actually crowned the goalie's efforts. Norway is just an amazing team and I'm truly rooting for them.;positive;positive;haaland actually crowned goalies efforts norway amazing team im truly rooting
UgxSq4dvkjFI_BGFoUN4AaABAg;That 2nd goal from Halland have hurt brazil more than anything.;negative;positive;2nd goal halland hurt brazil anything
UgxzawttY36xNx4A4XB4AaABAg;That first penalty miss by Brazil proved very costly.;negative;negative;first penalty miss brazil proved costly
Ugx0gEw5Hlm1iF58nbR4AaABAg;Norway's goalkeeper is f'n amazing;positive;positive;norways goalkeeper fn amazing
Ugz9aOt_xBPw9rBnG2N4AaABAg;Haaland is a freaking tank and their goalkeeper is another. The viking comeback!;negative;positive;haaland freaking tank goalkeeper another viking comeback
UgzgxjDYAeRJ4RIGY0h4AaABAg;As a Swede, now that we are out i have to root for my scandinavian neighbour. Lets go 🇳🇴🇸🇪;neutral;positive;swede root scandinavian neighbour lets go
Ugy9trZ9Tl6wYHuXxmJ4AaABAg;Coldest celebration from Haaland after 2nd goal. Rare moment in knockout stage in wc history;neutral;positive;coldest celebration haaland 2nd goal rare moment knockout stage wc history
Ugzb7labWvgHGzAGTmx4AaABAg;One of the best player on the game was the goalkeeper. He made some incredible saves and stopped normally what looked like a goals.;positive;positive;one best player game goalkeeper made incredible saves stopped normally looked like goals
UgyxWqHwOHaUwkKLwF94AaABAg;"Erling Haaland!
Norway goalkeeper had a great game.";positive;positive;erling haaland norway goalkeeper great game
Ugwm_SSK97HhUIdv33F4AaABAg;Haaland Scored and Gabriel at the crime scene once again  no matter Club or Country 😂😂;positive;positive;haaland scored gabriel crime scene matter club country
UgwCbxz1zoN6AglxGZ94AaABAg;"Funny, i can read on Danish news that some Danes are jealous and hope Norway will lose.
I for one, as a Dane, hope my Norwegian brothers will go all the way :)";positive;positive;funny read danish news danes jealous hope norway lose one dane hope norwegian brothers go way
UgwwlAmBslgC9a4jp1B4AaABAg;Amazing goal keeping and I think one of the best goals ever - unbelievable level of precision. Well done Norway!!;positive;positive;amazing goal keeping think one best goals ever unbelievable level precision well done norway
UgyvM1-XD7MeRAflRJd4AaABAg;Norway vs England is gonna be amazing, Norway are no joke;positive;positive;norway vs england gonna amazing norway joke
UgwXJDhd2QJRywKKAmF4AaABAg;11v12, not even scandalous VAR and ref decisions could ruin Norway's win (despite them trying their best).;positive;negative;11v12 even scandalous var ref decisions could ruin norways win despite trying best
UgwfmIlAyIk0g3MIj3t4AaABAg;Congrats from Germany Norway, keep rowing on.;positive;positive;congrats germany norway keep rowing
Ugxuh7VC_rqgOWsVOKF4AaABAg;I knew it! 75% thought Brazil would win. I believed in Norway!;positive;positive;knew 75 thought brazil would win believed norway
Ugy3dE5QS_xA7nSdaZJ4AaABAg;The ref tried his hardest to make brazil equalize but even 11vs12 wasnt enough;neutral;negative;ref tried hardest make brazil equalize even 11vs12 wasnt enough
UgyhPgodimEolAcS7zd4AaABAg;Our favourite song for The FIFA World Cup 2026 ✨;positive;positive;favourite song fifa world cup 2026
Ugw66-5JGfQdcHJF_OB4AaABAg;Who is here after Spain🇪🇸 win;positive;positive;spain win
UgwpZDbCYrrHgic2Gyt4AaABAg;1:36 for a second i thought i was listening to a telenovela theme song;neutral;neutral;136 second thought listening telenovela theme song
Ugw-JWSb8rlwOD6VZKl4AaABAg;Robbie Williams my one love❤❤❤;positive;neutral;robbie williams one love
UgxqIAjfq699a1Ry6214AaABAg;I adore Robbie Williams !!! Such a legend;positive;neutral;adore robbie williams legend
UgyV0T1EaxpDe-DMfch4AaABAg;Speed,BTS , Robbi Williams, Nicole scherzinger,and Laura pausini gave the best performances tonight;positive;neutral;speedbts robbi williams nicole scherzingerand laura pausini gave best performances tonight
UgxgF1OmlngXN3rq3xB4AaABAg;man laura´s voice is stuning, marvelous.;positive;neutral;man lauras voice stuning marvelous
Ugx1yIMZZYEDOMUBCnZ4AaABAg;"“We will miss this 2026 World Cup. It gave us a roller coaster of happiness, joy, excitement, and sadness. It made the whole world feel like a small place.
For many, it was their first World Cup, and for many others, it will be their last. We will miss you, Cristiano Ronaldo, Neymar, Lionel Messi, Mohamed Salah, Luka Modrić, and Kevin De Bruyne.
Thank you for making our childhood so special. ❤⚽🐐”";positive;positive;miss 2026 world cup gave us roller coaster happiness joy excitement sadness made whole world feel like small place many first world cup many others last miss cristiano ronaldo neymar lionel messi mohamed salah luka modrić kevin de bruyne thank making childhood special
UgyLj4JQfipWNenNINN4AaABAg;Laura pausini❤❤❤ the best ❤❤;positive;neutral;laura pausini best
Ugz87TccFooblrxJKoZ4AaABAg;This song was emotional for me seeing the flags of the nations in the back waving while most were eliminated and the world cup coming to an end. Great song!;positive;neutral;song emotional seeing flags nations back waving eliminated world cup coming end great song
UgzI9RvsT5z31KFaXsN4AaABAg;Happy birthday Spain🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦🎉🎉🎉🎉🎉🎉🎉🎉🎉;positive;neutral;happy birthday spain
Ugwb0pgNRNTImyJ5ky14AaABAg;They did an amazing job. Robbie is charismatic as always and Nicole always hits those notes. Impressive!;positive;neutral;amazing job robbie charismatic always nicole always hits notes impressive
UgwYrSlBYgETKMfsbZR4AaABAg;Laura is incredible ❤❤❤ Robbie and Nicole as well 🎉🎉;positive;neutral;laura incredible robbie nicole well
UgxS6Icd2S0KyL2GI1B4AaABAg;I LOVE NICOLE IS BEAUTITULL;positive;neutral;love nicole beautitull
UgyVZPfroLE6Ste0kZl4AaABAg;Who's here after 1 - 0 Spain win;positive;positive;whos 1 0 spain win
UgwB3S9nN7ivuVh_o6N4AaABAg;The sight of all the flags waving together in perfect unison filled me with a profound sense of awe, reverence, and unity. It felt as if the whole world had become one, and it made my heart swell with emotion.;positive;positive;sight flags waving together perfect unison filled profound sense awe reverence unity felt whole world become one made heart swell emotion
Ugxj7h2BGEJVw2n2DzV4AaABAg;This deserves so much more views! It is so beautiful;positive;positive;deserves much views beautiful
UgyN3n8YXCIzfeh4qJx4AaABAg;Fantastic Laura Pausini! Italy was there with you;positive;neutral;fantastic laura pausini italy
Ugx-N1H5Bm7X7Osfq2Z4AaABAg;A World Cup final that, despite not relying heavily on technology, delivered results, emotion, and elegance! Cool, lively, and moving performances. Congratulations!;positive;positive;world cup final despite relying heavily technology delivered results emotion elegance cool lively moving performances congratulations
UgxgRlglLotzf0_qXAB4AaABAg;The whole image this performance delivers is just pure art. beautiful;positive;positive;whole image performance delivers pure art beautiful
UgyhvBdGb2LnKmvFsYl4AaABAg;Laura Pausini went so far than the Italian team in a word cup for two decades.;neutral;neutral;laura pausini went far italian team word cup two decades
UgyPIdO8VgVdjiNX8xJ4AaABAg;Who is here after Spain 🇪🇸 wins this 26 World Cup championship 😅🎉🎉🎉🎉🎉🎉🏆🏆🏆🏆🏆;positive;positive;spain wins 26 world cup championship
UgwmU_ITklPA-0Hg2HZ4AaABAg;This song, man..... I knew this song once both nations' flags entered. and this full, man... simply made my ears blessed;positive;neutral;song man knew song nations flags entered full man simply made ears blessed
UgyESqNcAxmAyxn_PT14AaABAg;"No one can roll their ""R's"" like Laura can";positive;neutral;one roll rs like laura
Ugw1N1Hm8RInPLllzwB4AaABAg;"1:17 Laura Pausini singing ""cuando el diablo nos mire tendremos valor, That translates WHEN THE DEVIL SEE US WILL HAVE WORTH"" I am speechless, be careful cuz there's a spiritual warefare";negative;neutral;117 laura pausini singing cuando el diablo nos mire tendremos valor translates devil see us worth speechless careful cuz theres spiritual warefare
UgztnOKlabA9HrceYBh4AaABAg;Dynamite after 6 years still gets me so HYPEEED;positive;neutral;dynamite 6 years still gets hypeeed
UgyMXI9pT7gBqnAIblh4AaABAg;"I like that BTS adjusted the lyrics to ""King Kong, kick the ball"" and ""Iced tea and a game of football"". Such a cute lil touch.";positive;neutral;like bts adjusted lyrics king kong kick ball iced tea game football cute lil touch
UgwrfTntDCPm20pC3yd4AaABAg;JungKook sang alone 4 years ago and today he brought his brothers with him.;negative;neutral;jungkook sang alone 4 years ago today brought brothers
Ugw9dHfM0Z6yvm1ac2p4AaABAg;The best part is seeing the world come together!❤;positive;positive;best part seeing world come together
UgxtEvNxeivmkY_Ynst4AaABAg;The transition from Norwegian rowing to dynamite is fire. Overall I loved the halftime and congratulations to Spain. Well deserved;positive;positive;transition norwegian rowing dynamite fire overall loved halftime congratulations spain well deserved
UgwcpTdepcl-ncB-6Kl4AaABAg;BTS were on tour in Paris for their biggest live audience ever just 24 hours before this, legends beat the jet lag 🔥🔥;negative;neutral;bts tour paris biggest live audience ever 24 hours legends beat jet lag
UgxNbDNuxBPcc4r0sX54AaABAg;"It’s sad to see that no one in the comments is showing Justin any love just because he didn't sing the typical popular song; instead, he chose to perform a song that raises humanity's awareness. For me, Justin was the best part of the halftime show.❤❤❤";positive;neutral;sad see one comments showing justin love didnt sing typical popular song instead chose perform song raises humanitys awareness justin best part halftime show
